,50%,mean,50%,mean
PartnerID,5178583.5,5067225.951432619,4698854.0,4714527.258506996
Sex,0.0,0.31808879093198994,0.0,0.4257090924462104
Age,44.0,45.1570371536524,32.0,33.78146003297121
CreditCondition,0.0,0.0012594458438287153,0.0,0.0032971213594284988
LombardRating,0.0,0.3866498740554156,0.0,0.39846557044426595
SumAmountzb,6307.0,15778.797858442407,4400.0,7021.220220915145
AVGAmountzb,6307.0,15778.797858442407,4400.0,7021.220220915145
ZB,1.0,1.0,1.0,1.0
Good,1.0,0.6489294710327456,1.0,0.5294204675149005
PercentGood,100.0,64.89294710327457,100.0,52.94204675149005
Promo,1.0,0.7281958438287154,0.0,0.02825802088176861
QntNew,1.0,1.0,1.0,1.0
QntPerez,0.0,0.0,0.0,0.0
QntOSN,0.0,0.0,0.0,0.0
QntBuyUp,0.0,0.0,0.0,0.0
AVGDneyZaloga,14.0,24.174669395465994,2.0,18.71949105972862
AVGDneySProshZB,0.0,0.6034319899244333,0.0,0.7665595806737964
AVGWeightGross,5.144999980926514,12.441546756090357,3.630000114440918,5.778968379909138
AVGCostPerGram,1355.259033203125,1317.052466734831,1349.811279296875,1286.904297266838
AVGCost,6748.0,16469.21859256927,4647.0,7435.661432134252
AVGPercentPerDay,0.20000000298023224,0.1878581593031303,0.3499999940395355,0.3516157997762098
MINPercentPerDay,0.20000000298023224,0.1878581593031303,0.3499999940395355,0.3516157997762098
MAXPercentPerDay,0.20000000298023224,0.1878581593031303,0.3499999940395355,0.3516157997762098
OverPayAmount,0.0,13.143116833280857,0.0,0.0
BudetSledVisit3M,0.0,0.3644521410579345,0.0,0.24965126601006044
BudetSledVisit6M,0.0,0.4108154911838791,0.0,0.28274929196432347
BudetSledVisit12M,0.0,0.45135390428211586,0.0,0.33389694382212454
labels,0.0,0.0,1.0,1.0
