,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean
PartnerID,3899083.0,3452695.3493917375,1579134.0,1765403.376469448,732095.0,936228.7047743546,316838.0,621895.9040650406,1567121.0,1927869.0519489225
Sex,0.0,0.36457300163957657,0.0,0.339693440965924,0.0,0.29709735880448024,0.0,0.3967479674796748,0.0,0.08962027013439688
Age,33.0,34.61583304657612,35.0,35.92228022320378,38.0,38.61671469740634,35.0,35.490243902439026,60.0,59.25924188088615
CreditCondition,1.0,1.062992125984252,2.0,2.2510073247393416,4.0,4.226091090050209,7.0,6.66910569105691,0.0,0.012166102490196735
LombardRating,1.0,1.646924275853693,2.0,2.504617770454577,4.0,3.985234261267417,7.0,6.9869918699186995,0.0,0.16020377383785234
SumAmountzb,17459.0,48343.494595907265,48025.0,91383.71883415838,190677.90625,546007.582026811,16341.35009765625,35354.259300368394,76100.0,203758.57309140897
AVGAmountzb,4900.0,7659.182329856159,4575.1826171875,6639.268598520734,6000.50341796875,10801.955844336622,3931.8846435546875,6485.632595651518,5610.5556640625,8524.540294416189
ZB,3.0,6.005424771774994,10.0,13.58111906509187,30.0,46.333491785258026,4.0,5.560975609756097,13.0,24.902369541173712
Good,2.0,4.16503046373702,9.0,11.8278893950513,28.0,43.1882705962744,3.0,4.341463414634147,12.0,23.466266715822638
PercentGood,80.0,65.04256217089959,93.33333587646484,81.404281706097,97.14286041259766,92.90999848227467,83.33333587646484,77.33787168332232,100.0,89.2187750601683
Promo,0.0,0.0026719025160415358,0.0,0.0034754434305811327,0.0,0.015597611337235213,0.0,0.0065040650406504065,1.0,0.9650434024868452
QntNew,3.0,4.437807420601987,7.0,9.460309328311709,14.0,22.939124751180962,3.0,3.988617886178862,8.0,13.33569058551463
QntPerez,0.0,1.2858935692164444,2.0,3.872627075227427,14.0,23.229596838884103,0.0,1.5455284552845527,3.0,11.333378020578476
QntOSN,0.0,0.052183065805720304,0.0,0.08244139516207197,0.0,0.08039454529249235,0.0,0.02032520325203252,0.0,0.09424540000670309
QntBuyUp,0.0,0.22954071615084104,0.0,0.165741266390662,0.0,0.08437564990047239,0.0,0.0065040650406504065,0.0,0.13905553507390153
AVGDneyZaloga,28.0,28.248790559277776,35.0,34.88454881544149,53.0,51.117709973558334,33.0,36.426829268292686,40.0,38.542648389583405
AVGDneySProshZB,58.0,135.79758314272414,79.0,150.9096800099694,41.0,72.77732552957605,505.5,645.2512195121951,51.0,104.7571136508362
AVGWeightGross,4.144199848175049,6.386590821134743,4.171800136566162,6.05922152332131,5.804800033569336,10.248676726844215,4.425299882888794,7.2388947074975425,5.284999847412109,7.709957711023788
AVGCostPerGram,1301.9312744140625,1269.2372396012113,1226.494873046875,1205.1771752215436,1151.0357666015625,1152.0331033940388,964.9214782714844,971.0259277095639,1221.4808349609375,1207.2246475968934
AVGCost,5214.0,8154.108057644185,4999.0908203125,7321.754702150685,6577.57666015625,11830.408018918835,4232.159912109375,7023.1052407365505,6187.5,9250.116681675516
AVGPercentPerDay,0.3499999940395355,0.3431041772215047,0.3384999930858612,0.34562128583269697,0.3158000111579895,0.32289813425140784,0.29159998893737793,0.3056142270928476,0.24869999289512634,0.25804381882328925
MINPercentPerDay,0.33000001311302185,0.3223769812940516,0.28999999165534973,0.29139696291366896,0.25,0.2530292063241386,0.25,0.23657723642219372,0.20000000298023224,0.2012162781253247
MAXPercentPerDay,0.3499999940395355,0.36174037853486646,0.3499999940395355,0.3941145910476813,0.3700000047683716,0.39473840564851503,0.3499999940395355,0.3622764252429086,0.3499999940395355,0.34374266928193253
OverPayAmount,0.0,4.342532660554175,0.0,15.741610336742115,630.0,3691.0359430717426,0.0,59.432227616969165,0.0,0.16823541072489137
BudetSledVisit3M,0.0,0.41991377041880046,1.0,0.5416568588083799,1.0,0.7086960396922072,0.0,0.37398373983739835,1.0,0.6845192211013171
BudetSledVisit6M,0.0,0.48191405380240065,1.0,0.6130488362110743,1.0,0.7712350337205502,0.0,0.375609756097561,1.0,0.7442772396688675
BudetSledVisit12M,1.0,0.5565046657085602,1.0,0.6906855346782792,1.0,0.8139576339166344,0.0,0.3796747967479675,1.0,0.7997787981365418
labels,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0
