,0,1
0,Age,136447.0188
1,CreditCondition,146061.2974
2,LombardRating,186720.5688
3,LombardCategoryID,59043.68953
4,AmountZB,2809.029743
5,Qty,30046.80909
6,TermWoutGracePeriod,25423.96032
7,WeightGross,4454.625767
8,WeightNet,3395.339932
9,WeightNet999,3363.335928
10,WeightNotBrilliant,8419.36051
11,WeightNet999Calc,3271.249469
12,Cost,6716.693936
13,CostMetal,6277.926647
14,CostPerGram,86539.82924
15,CostInsert,2759.530236
16,PromoActionID,
17,PromotionID,17371.17366
18,CostAmount,2809.029743
19,PercentPerDay,94879.17781
20,FlagNewPartner,355313.4562
21,DneySProshZB,258.4994982
22,DoSumAmountzb,943.2155544
23,DoAVGAmountzb,14328.02452
24,DoZB,574.1476928
25,DoBad,82044.1322
26,DoSumBad,29191.14153
27,DoGood,68650.69539
28,DoPercentGood,1332743.683
29,DoSumGood,12482.86734
30,DoMaxBadPercentPerDay,46122.99955
31,DoAVGBadPercentPerDay,57116.18375
32,DoMinGoodPercentPerDay,532489.4026
33,DoAVGGoodPercentPerDay,655180.374
34,DoQntNew,5618.310051
35,DoQntPerez,26801.92609
36,DoQntOSN,11.40060348
37,DoQntBuyUp,292.8847556
38,DoAVGDneyZaloga,312404.4358
39,DoAVGDneySProshZB,28380.91032
40,DoAVGWeightGross,19892.71286
41,DoSUMWeightGross,442.7097146
42,DoAVGWeightNet,19916.82631
43,DoSUMWeightNet,743.774002
44,DoAVGWeightNet999,19399.1801
45,DoSUMWeightNet999,666.6856977
46,DoAVGWeightNotBrilliant,21365.93746
47,DoSUMWeightNotBrilliant,2600.785261
48,DoAVGCostPerGram,287188.4758
49,DoAVGCost,19794.96234
50,DoMaxCost,3642.720352
51,DoQntTreasury,138142.9322
52,DoAVGPercentPerDay,106093.7411
53,DoMINPercentPerDay,64222.68285
54,DoMAXPercentPerDay,85153.1647
55,OverPayAmount,3114.186431
56,PercentAmount,107667.8235
57,Proba_375,6937.52396
58,Proba_500,248.8820849
59,Proba_583,1303.645323
60,Proba_585,349.3985375
61,Proba_750,1213.621351
62,Proba_830,0.442300136
63,Proba_850,18064.93657
64,Proba_875,0.945955324
65,Proba_900,416.5332077
66,Proba_925,0.302863053
67,Proba_950,3.633584618
68,Proba_958,498.2881305
