93956,50%,mean,std,50%,mean,std
,,41%,,,59%,
SEX,0,41%,0.492253546,0,42%,0.49339819
Age,34,36.46362436,12.49159848,32,34.90098473,12.12683926
DayFromLastVisit,563,587.4411178,223.3080762,627,633.7068028,210.3778378
CreditCondition,0,0,0,0,0,0
LifeTimeDay,563,588,226,627,634,213
LombardCategoryID,172,178.2599777,110.6475883,154,164.0917337,108.9242927
CityID,81,72.27422237,32.67747729,84,72.31225946,32.78747024
SumAmountzb,4332,8129,13534,4284,7861,13210
AVGAmountzb,4332,8129,13534,4284,7861,13210
ZB,1,1,0,1,1,0
PercentBad,0%,0%,1%,100%,100%,1%
PercentGood,100%,98%,15%,0%,0%,0%
PercentNewBySMS,0,0.004143897,0.064240422,0,0.001626163,0.040293276
PercentNew,1,0.97428194,0.158294946,1,1,0
PercentOSN,0,0.008883479,0.093833846,0,0,0
PercentSkupka,0,0.016834581,0.128653047,0,0,0
PercentPerezalog,0,0,0,0,0,0
MaxBadPercentPerDay,0,5.21E-05,0.004221267,0.349999994,0.338990151,0.069838049
AVGBadPercentPerDay,0,5.21E-05,0.004221267,0.349999994,0.338990151,0.069838049
MinGoodPercentPerDay,0.349999994,0.316412161,0.093706498,0,0,0
AVGGoodPercentPerDay,0.349999994,0.316412591,0.093706002,0,0,0
AVGDneyZaloga,19,25.6305457,23.61303264,0,0.005221791,0.568797716
AVGDneySProshZB,0,0.57952397,30.37784185,0,0.760755262,35.77216448
AVGWeightGross,3.720000029,6.880285148,11.09421041,3.349999905,6.068425151,9.806924205
AVGWeightNet,3.49000001,6.470733985,10.55794443,3.160000086,5.74592899,9.431564709
AVGWeightNet999,2.013000011,3.744973451,6.165740997,1.825000048,3.339779131,5.592356063
AVGWeightNotBrilliant,0,0.409162675,1.825397603,0,0.322373295,1.611115796
AVGCostPerGram,1349.823242,1287.12834,246.1592504,1349.80542,1296.435599,214.0828539
AVGCost,4802,8922.073899,14549.70088,4329,7930.710995,13254.59459
MaxCost,4802,8922.302763,14549.74766,4329,7930.710995,13254.59459
QntTreasury,1,1.000025899,0.005089141,1,1,0
AVGPercentPerDay,0.349999994,0.315829079,0.094322647,0.349999994,0.339048512,0.069706627
MINPercentPerDay,0.349999994,0.315828649,0.094323137,0.349999994,0.339048512,0.069706627
MAXPercentPerDay,0.349999994,0.315829944,0.09432189,0.349999994,0.339048512,0.069706627
QntPromo,0,0.220325814,0.41447171,0,0.133020146,0.339599574
PercentPromo,0,0.194607754,0.395903569,0,0.133020146,0.339599574
OverPayAmount,0,0.046548911,8.801095426,0,4.510092268,745.8186165
PercentAmount,0,148.2378886,714.1753832,0,0,0
BadPercentPerDay,0,5.21E-05,0.004221267,0.349999994,0.338990151,0.069838049
GoodPercentPerDay,0.349999994,0.316406981,0.093718461,0,0,0
DayDiff,0,48.5704592,133.7530307,0,33.11945072,121.1684964
isGoodZB,1,0.975551009,0.15444046,0,0,0
BudetSledVisit,0,0.264510114,0.441077717,0,0.132207065,0.338718806
labels,0,0,0,1,1,0
