,50%,mean,,50%,mean,,50%,mean,,50%,mean,,50%,mean,,50%,mean
,,29%,,,11%,,,29%,,,0%,,,31%,,,1%
SEX,0%,29%,,0%,30%,,0%,36%,,0%,32%,,0%,33%,,0%,29%
Age,37,39,,40,42,,33,35,,34,37,,38,41,,36,39
DayFromLastVisit,401,444,,230,271,,571,591,,401,431,,406,471,,418,460
CreditCondition,3.00,2.90,,1.00,1.56,,1.00,1.63,,1.00,1.44,,1.00,1.39,,1.00,1.56
LifeTimeDay,1698,1621,,795,937,,1036,1156,,720,781,,879,978,,861,999
LombardCategoryID,177,185.3966562,,192,206.6974829,,154,162.5880092,,349,324.1698774,,184,192.8406082,,172,168.4551084
CityID,92,74.5881714,,89,72.61292919,,84,72.26871809,,101,101,,89,73.17980586,,128,128
SumAmountzb,111630,180761.2356,,102507.2969,235487.1511,,17123.09961,32691.13442,,41405.94922,114475.6685,,28500,56319.53174,,28976,61755.1829
AVGAmountzb,11129.99316,16319.50802,,36481.60156,62717.42016,,4847.5,7763.632092,,15641.98535,30435.71476,,6668.052979,11047.0824,,6990.666504,12295.98553
ZB,21,23.49724298,,12,15.90080188,,3,5.048633746,,5,8.992994746,,5,7.58281132,,6,9.683591331
PercentBad,0.090909094,0.114331953,,0,0.049247073,,0.5,0.576118171,,0,0.162037176,,0,0.029475338,,0.093023255,0.216522164
PercentGood,0.899999976,0.876062211,,0.965517223,0.926036201,,0.400000006,0.350849063,,0.9375,0.801946316,,1,0.936376058,,0.833333313,0.711136007
PercentNewBySMS,0,0.051492181,,0,0.051461418,,0,0.057132311,,0,0.090715167,,0,0.108899462,,0,0.087070561
PercentNew,0.5,0.514466988,,0.222222224,0.233570814,,1,0.827076299,,0.5,0.541489828,,0.75,0.746508122,,0.631578922,0.64202762
PercentOSN,0,0.002599189,,0,0.001520157,,0,0.017652414,,0,0.005924109,,0,0.011002995,,0,0.014523899
PercentSkupka,0,0.003169952,,0,0.003886729,,0,0.056953768,,0,0.022621367,,0,0.022328971,,0,0.0606346
PercentPerezalog,0.5,0.479763881,,0.769230783,0.761022309,,0,0.098317524,,0.5,0.429964706,,0.181818187,0.220159919,,0.222222224,0.282813889
MaxBadPercentPerDay,0.330000013,0.283451171,,0,0.126358092,,0.349999994,0.388400214,,0,0.137092822,,0,0.039265516,,0.400000006,0.258229102
AVGBadPercentPerDay,0.310000002,0.265065561,,0,0.123459525,,0.349999994,0.361537299,,0,0.133327147,,0,0.03852447,,0.379999995,0.246689288
MinGoodPercentPerDay,0.289999992,0.314087116,,0.779999971,0.958038019,,0.300000012,0.242366849,,0.319999993,0.481593698,,0.310000002,0.327686371,,0.400000006,0.463758515
AVGGoodPercentPerDay,0.653999984,0.706963151,,1.350000024,1.469647415,,0.330000013,0.274500326,,0.504999995,0.678692645,,0.395700008,0.445177227,,0.49000001,0.684791148
AVGDneyZaloga,103,115.4369192,,241,260.0808384,,17,27.27668548,,82,108.732049,,40,49.47045626,,42,74.97337461
AVGDneySProshZB,70,111.7962996,,30,76.52648689,,107,215.1339151,,30,72.60070053,,66,127.9804856,,61,123.3281734
AVGWeightGross,10.68000031,15.78180434,,32.59000015,55.56166248,,4.269999981,6.640184478,,13.89000034,24.96277141,,5.98939991,9.728037815,,6.221000195,10.93462915
AVGWeightNet,10.10330009,14.88609779,,30.69000053,52.03911614,,4.039999962,6.284587876,,12.79920006,23.50525273,,5.64289999,9.203032865,,5.887499809,10.4172146
AVGWeightNet999,5.852399826,8.634009512,,17.83200073,30.2551296,,2.334199905,3.640850532,,7.488399982,14.04880123,,3.277050018,5.346811053,,3.415999889,6.0233057
AVGWeightNotBrilliant,0.532000005,1.481881278,,0.843699992,4.452767744,,0.200000003,0.558471863,,0.479999989,2.028864096,,0.200000003,0.766461149,,0.230000004,0.837107122
AVGCostPerGram,1147.196411,1140.656075,,1299.295776,1270.031718,,1214.561401,1195.589556,,1315.317383,1294.6169,,1289.884827,1256.391293,,1284.869629,1255.736639
AVGCost,12252.16016,18044.28656,,41096.77734,69889.27657,,5035.5,8077.592843,,18009,32999.98634,,7439.791748,12329.25224,,7547.856934,13854.6251
MaxCost,36830,61384.68882,,71820,136051.3894,,8246,14389.53602,,29880,58636.22031,,12924.5,23794.47797,,13720,27304.17932
QntTreasury,2,2.471821756,,1,1.599089755,,2,1.77533616,,1,1.362521891,,2,1.697787552,,1,1.53498452
AVGPercentPerDay,0.321399987,0.327060234,,0.330000013,0.317791316,,0.349999994,0.35539626,,0.300000012,0.2883296,,0.330000013,0.316532787,,0.426600009,0.409027554
MINPercentPerDay,0.25,0.258257945,,0.300000012,0.293510636,,0.330000013,0.317275669,,0.289999992,0.257758322,,0.289999992,0.28440535,,0.400000006,0.354241486
MAXPercentPerDay,0.360000014,0.388244484,,0.349999994,0.342073748,,0.349999994,0.396576594,,0.330000013,0.312381792,,0.349999994,0.346087341,,0.460000008,0.453027865
QntPromo,0,1.19150343,,0,0.818043902,,0,0.631198963,,0,0.80385289,,0,1.358923097,,1,1.2625387
PercentPromo,0,0.050081984,,0,0.047503692,,0,0.151474404,,0,0.101004076,,0,0.175872612,,0.047619049,0.173827045
OverPayAmount,621.5999756,2746.129119,,3157.949951,7817.399477,,0,243.6737127,,420,2284.614711,,0,476.5395635,,0,1189.844846
PercentAmount,0,63.70600268,,0,59.91012881,,0,46.88689656,,0,68.79899198,,0,80.64739764,,0,39.8387483
BadPercentPerDay,0,0.118084494,,0,0.078171461,,0.340000004,0.2880064,,0,0.100805606,,0,0.008113532,,0,0.165758513
GoodPercentPerDay,0.389999986,0.616056581,,1.5,1.64559553,,0,0.114396079,,0.330000013,0.62863398,,0.349999994,0.447392154,,0.400000006,0.581684214
DayDiff,0,101.401202,,0,141.4635128,,0,63.31869531,,0,73.60770578,,0,84.26858146,,0,79.72198142
isGoodZB,1,1.972854899,,5,5.349267779,,0,0.323344899,,1,2.283712785,,1,1.461948554,,1,1.541795666
BudetSledVisit,0,0.463804565,,0,0.451500046,,0,0.264407294,,0,0.371278459,,0,0.465358301,,0,0.413003096
labels,0,0,,1,1,,2,2,,3,3,,4,4,,5,5
