,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
SEX,0.0,0.345222182375379,0.47544841663841997,0.0,0.44902605615987856,0.4974577958814829,0.0,0.317196223961253,0.4653897678481114,0.0,0.36026039354934164,0.48007942291414524,0.0,0.20884570712191886,0.40648766770870154,0.0,0.32386806734253865,0.46796109673919223,0.0,0.3376356836632309,0.4729143991352585,0.0,0.39523688877628577,0.4889634592147846,0.0,0.375355306268579,0.48421977226266033,,,
Age,35.0,36.2104782707919,9.73844692291262,43.0,43.86415380723501,12.759731249018815,33.0,35.308854855707786,11.774615852113044,35.0,36.023391034176655,9.66726927340207,56.0,50.39409302925831,15.227767939999936,36.0,36.99623835955778,9.67464028412848,37.0,38.048982942625194,9.918153983531088,34.0,35.354953128958705,11.13056310523493,33.0,34.93306138390435,9.720076962590271,,,
DayFromLastVisit,522.0,527.553027092231,250.34116900719695,273.0,304.4733114090564,228.1596497363239,575.0,597.997757696706,213.55522474517065,380.0,448.76391478029296,238.5906143246494,353.0,404.4089157648273,225.3627633731887,489.0,488.9348135235561,248.17304891177636,505.0,483.0528596187175,235.63143376110636,682.0,642.8642006587281,252.665006435053,393.0,438.3880052943346,209.97060949612657,,,
CreditCondition,3.0,3.0,0.0,1.0,1.9835567923096382,2.1706038446664944,1.0,1.296185842097002,1.1032925674797793,2.0,1.9986388519011689,0.05545783163453743,0.0,0.006305193488320643,0.12678254266130037,4.0,4.0,0.0,5.0,4.984858159262975,0.24527209277162823,7.0,7.0,0.0,1.0,0.9972660403150563,0.06744793287285918,,,
LifeTimeDay,1509.0,1501.4543083493627,468.95584648080325,964.0,1071.9395395901847,541.94289211807,990.0,1115.2499943942419,533.28737962937,1227.0,1297.7074271341914,496.90698526344465,798.0,995.738352906473,582.7573440345999,1493.0,1519.7763200146796,449.9875964147095,1633.0,1619.6479065949102,401.9461637248601,1899.0,1847.8393716746896,239.60393603532344,715.0,844.7557662681451,469.2533429663656,,,
LombardCategoryID,164.0,173.95892152707594,97.84154532554095,188.0,195.44649633189982,86.6056504961884,152.0,161.11115097428078,99.16151204925613,174.0,181.89815061399617,95.74143955156038,183.0,194.18521044965985,95.16153257489445,177.0,185.86825083719435,93.96305191444036,184.0,194.58382741950197,90.01146852691456,129.0,145.65264758044083,106.65946015666162,185.0,197.47770520971207,93.36128520995821,,,
CityID,92.0,74.41525119812212,32.36038283860848,92.0,76.0771565899317,32.01807698560781,89.0,73.01396954952126,32.45529235449617,91.0,73.73840804852789,32.545092706362674,91.0,74.08371895798382,32.2486287559836,92.0,73.52653791458324,32.87682333091261,92.0,74.13800966888626,32.846260437903155,84.0,70.85786673422852,34.608231192948736,84.0,72.72979365113807,32.29858223322474,,,
SumAmountzb,57459.0,117118.72313004502,167624.17842421177,791166.1875,1141787.8157362684,1168013.2997257097,13100.0,24276.873361407856,50093.93166309818,51142.5,92958.7511979741,126447.60323242052,41623.5,93080.11002434627,145650.42792462985,88042.0,145556.99059437573,169295.35301040998,122665.4609375,180147.04077662027,196821.10085359678,18913.0,40279.91736752201,65945.53115163108,27845.7109375,68287.22508821101,116580.4720981475,,,
AVGAmountzb,7473.962890625,12602.233258151955,15028.751871973609,183200.0,224567.08511290007,176282.14939933922,4392.33349609375,6692.20562785609,8248.810687567637,6866.8408203125,11705.749048933832,14070.968857598986,12443.7138671875,21562.37614289824,24508.868244880585,11962.8330078125,18649.77831381112,19451.67386920065,14913.27099609375,22259.488842661533,21961.31672486091,5264.7998046875,10538.867676569898,16970.578613980942,7722.5,13769.900956175741,17223.853963581085,,,
ZB,11.0,16.63622730088351,13.528203581049361,17.0,20.961548191247154,14.283868014538221,3.0,3.6016996658968092,2.9878517118396024,11.0,13.415386891552005,10.25702160208698,6.0,11.946940506259104,12.844145515320504,15.0,20.143401073443737,13.021807508497425,20.0,21.56585788561525,14.236084687824356,4.0,6.257917405624525,5.615114280532961,5.0,8.551261744092693,9.970292465719657,,,
PercentBad,0.1034482792019844,0.16526035143080264,0.19469004711623553,0.0,0.05932464956193069,0.11049885781965328,0.75,0.7113718255209271,0.2932710124755876,0.0625,0.13040223820472582,0.16574274990964516,0.0,0.09712070216250504,0.1638998172701311,0.06666667014360428,0.09528420574274737,0.11134849582342315,0.03846153989434242,0.08603866753864751,0.1275864897449811,0.20000000298023224,0.2438371547877464,0.24682966555958236,0.07692307978868484,0.16595837246805012,0.20017207854934374,,,
PercentGood,0.8837209343910217,0.8252969451175289,0.19716332416860813,0.957446813583374,0.9219502966606915,0.1237250440939782,0.0,0.12936791306826873,0.18755898947112268,0.9090909361839294,0.8523287373830147,0.17046177836824555,1.0,0.8802512483319835,0.1752756511795663,0.9215686321258545,0.8967458946276867,0.11265801465426743,0.9523809552192688,0.9078449573050795,0.1283407045136211,0.800000011920929,0.7490903054283092,0.24822553284535442,0.8695651888847351,0.8149716244383605,0.20349028478387626,,,
PercentNewBySMS,0.0,0.051070185631845885,0.10426845969114835,0.0,0.052862585227971375,0.1302186292885319,0.0,0.0460660752120939,0.15511948806206907,0.0,0.0958387877452881,0.14682765202807077,0.0,0.056243978836566365,0.13097414483072164,0.0,0.04327768127529784,0.09456513126776771,0.0,0.04975323320491236,0.11001944401076987,0.0,0.017118813042923682,0.08014260943189651,0.0,0.11827079938555254,0.20114850176791843,,,
PercentNew,0.6666666865348816,0.6581203439017133,0.2259939047984665,0.24137930572032928,0.29939011346889,0.19488866254221754,1.0,0.823070146399463,0.2423430184823125,0.75,0.7102616900333701,0.25083020797011124,0.5,0.5098463992307543,0.2611834953923512,0.47058823704719543,0.4770576351039962,0.18766578413348295,0.42307692766189575,0.4838339231008176,0.2644109904224812,0.8260869383811951,0.7696500241450639,0.24869963503016942,0.7142857313156128,0.7092685672503904,0.2697252505780042,,,
PercentOSN,0.0,0.0036987705058499133,0.021756192482580476,0.0,0.000529312488382417,0.006376728124104649,0.0,0.03996207089452949,0.13125673573925506,0.0,0.005346351806617273,0.02966107572649012,0.0,0.0051682070280544565,0.03827502185672878,0.0,0.0018648715296126959,0.011550760995350781,0.0,0.0014103190267624553,0.014311844925760661,0.0,0.004547804496825602,0.03638877405693565,0.0,0.003663051020711551,0.029657385714458893,,,
PercentSkupka,0.0,0.0038309031662357856,0.02259452737578559,0.0,0.0022598815925915033,0.017864476564000496,0.0,0.12254989100278713,0.21541335102226583,0.0,0.008917843243227077,0.03915518864920688,0.0,0.011050280237811164,0.05876463899074625,0.0,0.002401075669870589,0.01595373152661915,0.0,0.0009787384937817649,0.01062252841732633,0.0,0.0012449680652713848,0.01835339548442878,0.0,0.011235328825988027,0.053109757817888265,,,
PercentPerezalog,0.31578946113586426,0.3343499916235011,0.22621283028404923,0.75,0.6978207002885125,0.19596159624663204,0.0,0.014417895833893022,0.05939957568238338,0.25,0.27547412256583875,0.24962810107576727,0.5,0.4739351211774809,0.26930823254574504,0.523809552192688,0.5186764286200684,0.18837135042255704,0.5714285969734192,0.5137770269178231,0.2651812750691055,0.1666666716337204,0.22455721149376323,0.24816928917489592,0.25,0.2758330616987321,0.2662003551105109,,,
MaxBadPercentPerDay,0.33000001311302185,0.25744889605885957,0.23092073054201573,0.0,0.14052365395334018,0.18162281430589605,0.3499999940395355,0.3636989024741063,0.22718923752962614,0.30000001192092896,0.21607900537062122,0.23599167280100145,0.0,0.12653343450073445,0.19600112242463244,0.3100000023841858,0.23840910321807932,0.21624745564372627,0.27000001072883606,0.202512999023849,0.21055716370172087,0.25,0.2176513822019206,0.24322379435095703,0.25999999046325684,0.18938616031388522,0.19843439239674648,,,
