,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
SEX,0.0,0.3453496755587599,0.47548960493390363,0.0,0.4121784102513424,0.49223100174025525,0.0,0.3168843606182331,0.4652650233082309,0.0,0.3690604874929586,0.48255402728534824,0.0,0.31789421299587656,0.46566639396933096,0.0,0.35872051747258815,0.4796281186847349,0.0,0.20349338523317978,0.40260131718051195,0.0,0.259825327510917,0.4386982980442493,0.0,0.39580171977744055,0.4890840571029599,0.0,0.2753846153846154,0.44687978872130574,0.0,0.3170408981555734,0.46533283709140627
Age,35.0,36.19604401115952,9.755779479491872,32.0,35.2455940969134,12.423182470366433,40.0,43.05498656593333,15.633199221908178,33.0,34.38592938812174,9.86675646929239,38.0,38.58506327314091,9.852755928577787,34.0,35.53718019510399,9.790298304698691,51.0,48.66940947500677,14.180100847940846,42.0,41.727802037845706,9.342873863732494,34.0,35.35988872028326,11.128675880502858,33.0,34.206923076923076,9.759199985996409,36.0,37.242662389735365,9.637237913110898
DayFromLastVisit,525.0,529.0961725337763,250.64843498530954,625.0,631.9915505484731,209.37870169580984,496.0,534.5065574206592,222.60268445190675,456.0,504.9912915061736,216.25438196905586,450.0,446.5929546424001,239.04973379499435,421.0,486.77346112382,238.19564841815608,246.0,265.3828434874726,194.83160444969496,269.0,241.96215429403202,130.05243503012085,681.5,642.4089529590289,252.98925930425452,556.0,569.0376923076923,229.06850761332888,451.0,466.49266238973536,249.67971991107655
CreditCondition,3.0,3.0,0.0,0.0,0.011941232664624305,0.1749532624781874,0.0,0.00035912851480407546,0.02604292436025794,1.0,0.9996650579297535,0.018298496708682867,5.0,5.0,0.0,2.0,1.9970024453735111,0.07737055396511668,0.0,0.5471902638515928,0.9387415510511263,8.0,7.767103347889374,1.221163544144451,7.0,7.0,0.0,6.0,6.0,0.0,4.0,4.0,0.0
LifeTimeDay,1544.0,1519.617472806495,467.8540052075371,636.0,651.8009684751457,245.76250812146324,683.0,799.947873161129,485.9609447340338,766.0,917.5757045201955,497.9096358328608,1766.0,1685.169380065406,403.84936932366827,1289.0,1336.0673529489102,498.3019728844948,946.0,1140.9129117292011,636.3064126887676,2069.0,1919.6703056768558,305.0442061363521,1899.0,1847.7238239757207,239.53764407364775,1208.0,1216.8553846153845,474.26754743812063,1581.0,1561.7755412991178,452.8765381499642
LombardCategoryID,163.0,173.04871320648255,97.6664787694587,155.0,164.52912013703593,108.22777560607763,175.0,182.38860365513023,104.57317375862462,175.0,184.04669396952028,97.45100711609633,182.0,192.72454855680363,88.45750249410438,167.0,175.9631879256396,96.80362280502466,188.0,200.5410312630879,86.70315046114348,175.0,186.63173216885008,78.88676302945528,128.5,145.6433990895296,106.61337693194939,152.0,159.74846153846153,92.6402760377989,177.0,186.19839615076182,92.57934356258143
CityID,92.0,74.44431209053008,32.30936096989787,84.0,72.36932173798465,32.760384508114015,84.0,73.20514218828976,32.55504787388341,89.0,72.7970707793493,32.37336428436624,92.0,74.59163941419024,32.422052093159515,91.0,73.66905945150009,32.590410144959854,92.0,74.38042915917322,31.702896539592842,92.0,75.10407569141194,31.802949804967078,84.0,70.87683358624179,34.60636590400438,91.0,73.0,31.814851209863825,92.0,73.82610264635125,32.704016586301854
SumAmountzb,57365.0,136177.7466985263,323193.2152373296,4695.0,9954.212204148884,41701.14606769911,9576.0,39209.37920014253,114300.36079127261,18665.0,63769.08001976512,219668.1923653577,165298.0,327427.0022008693,693944.1339597168,38790.830078125,80294.43277872981,154863.19923259394,160918.203125,483413.70866723155,1308980.7205703217,868019.5,3456841.549681018,10976094.507483575,18949.599609375,41302.054289860745,72284.88295841448,29596.0,43895.258639948916,52166.4374227449,104565.46484375,228480.90595241077,483135.6044169793
AVGAmountzb,7385.466796875,12256.613025147624,14334.033799326819,4368.0,7920.054009222021,12201.359265394445,5854.82763671875,9545.19126604133,11835.092322202603,5889.0,9520.516687704165,11173.288073689013,14971.10107421875,22958.145202070453,24240.395150457494,5850.0,9155.262558726457,10195.895995598195,30781.79296875,55656.55482897658,84132.34096274672,23045.591796875,38465.759640800556,51974.895384767515,5277.5,10951.680006398657,20620.717438515887,4995.5,6674.113469191331,5932.043738863782,12312.24365234375,19555.142270597382,21728.67498531446
ZB,11.0,17.89338892197737,18.96387790167877,1.0,1.1926573772111868,2.1880808114374424,1.0,5.710728631853369,12.941988676879937,3.0,7.9888251145654126,15.98405246734995,25.0,37.41070666856249,41.053408423050186,8.0,12.184007783124294,13.354676608644695,18.0,35.6887733734079,56.580997211789324,103.0,184.764192139738,543.7809726790903,4.0,6.257207890743551,5.612033517915092,6.0,6.987692307692308,5.819573769469141,17.0,27.91202886928629,28.655871082300333
