,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
PartnerID,2326325.0,2759967.4371419093,1342572.4620191206,1397705.5,1438046.6525747508,1010166.9171566009,1109790.0,998382.3940337846,788988.506975933,2391657.0,2689372.643513203,1503116.9154063829,1000233.0,881660.5716702453,810239.8030802592,2146386.0,2656582.543647157,1357386.7816854804,2047090.0,2381372.1461485485,1449444.5667221157,1123133.0,1083237.254920067,872937.226030948
Sex,1.0,1.0,0.0,0.0,0.39516196013289034,0.4888905279414767,0.0,0.3779801126153109,0.4849116595845817,1.0,0.6293532338308457,0.48302420792463757,0.0,0.3155703038584163,0.4647577233671343,0.0,0.0,0.0,0.0,0.38126343468914997,0.48570212197509727,0.0,0.3770416113579962,0.48465945904154345
Age,31.0,33.878716603341175,10.959179718711113,33.0,35.14896179401993,11.375635458476086,36.0,37.62357733317359,10.72299678049775,37.0,39.28492154611558,12.181252768422311,37.0,39.53171969549092,12.979423477206106,34.0,37.78157496314594,14.440925775086482,32.0,34.23060709142893,10.887938430431207,34.0,35.610607722052286,11.086819528491338
CreditCondition,0.0,0.00019600747843917738,0.03225406411793414,2.0,1.9854235880398672,0.17434010330732078,5.0,5.0311489157781235,0.309584355658286,0.0,0.8099885189437428,1.420042360666857,4.0,3.562691131498471,2.1690923031295095,0.0,0.0,0.0,1.0,1.110232276645032,0.7348627290481287,3.0,2.9987880186991402,0.060288346916343084
LifeTimeMonth,0.0,0.7664646281888909,4.078263813759887,18.0,20.705211794019935,15.31557876960865,31.0,31.364562118126273,14.589188906818803,0.0,6.757941063911213,12.86294924359212,31.0,31.55267096102544,14.620925004921697,0.0,1.8434200565759593,7.16935263083216,5.0,10.628357367948745,12.850237181697223,25.0,25.31586541236221,15.181525550174538
SumAmountzb,4200.0,7620.613666794627,14232.796294571579,16652.25,34425.8816614791,58312.72809048252,76900.0,185466.683447776,613930.6704369747,84800.0,477101.16517099,2543731.6003373596,65750.0,167304.5360154045,501544.34994557727,4200.0,8222.323913127077,15692.396048774412,11817.0,23996.397253478855,46717.218424181214,30700.0,63687.48458948079,114465.42354098364
AVGAmountzb,3900.0,6086.411553498999,6254.965845713373,3735.0445556640625,5273.850913859523,4846.07534785976,5808.533203125,8630.995716709655,8403.064174610197,52861.791015625,62876.38408309639,37211.7354323795,5089.25,7217.906421930185,6379.782009513503,3687.3675537109375,5525.894001600585,5509.167039129343,4101.5,5898.830822656909,5456.331000665926,4125.0,5967.878232110412,5563.912596410937
ZB,1.0,1.2467884928532658,1.424594822815386,4.0,6.275892857142857,6.449456580253324,13.0,19.46831196837187,32.614847802958295,1.0,6.724263298890165,28.048807984680042,12.0,21.23254603422474,44.038093160035906,1.0,1.4973006892704888,2.1343870392066897,2.0,3.9042928397019847,4.9359599662181575,7.0,10.186818260518267,10.059313502356234
Good,0.0,0.4920089258790182,1.2674115799545436,2.0,4.490552325581396,6.05244989909934,11.0,17.314843656403497,30.614597913810197,1.0,4.1664753157290475,15.291484739734543,10.0,17.408679810007158,28.004136400276813,0.0,0.6596179130642655,1.956458966924318,1.0,1.6875847820189076,3.2876761188074277,5.0,7.857967334218272,9.119220927647335
PercentGood,0.0,34.53523530386216,46.838710092975695,66.66666412353516,62.43693042713839,35.88932794820007,91.66666412353516,84.29544364307775,20.362102373531176,81.25,56.934199058868124,45.97892242237331,87.5,82.92567474425239,18.338379126902836,0.0,33.50489393301355,46.167536262140686,33.33333206176758,38.94430288642096,40.12559319237393,80.0,71.64103704607342,27.8238334896653
PromotionID,0.0,0.2250316627465171,0.41760632532218334,0.0,0.0382890365448505,0.1918951558484443,0.0,0.012579369833473105,0.11145679683807767,0.0,0.19690011481056258,0.3976942592003782,0.0,0.1395015941180298,0.34648046186037273,0.0,0.3049324674289812,0.4603811126494757,0.0,0.04332491600058434,0.2035896182645959,0.0,0.03185779419403244,0.17562646524061828
PercentNew,1.0,0.993333005972265,0.052220068215504366,1.0,0.9032803665203492,0.16054259777297028,0.6153846153846154,0.6350182527642003,0.28166636561298514,1.0,0.9242898234795257,0.17062472724047828,0.5714285714285714,0.591878445011912,0.22394272777158175,1.0,0.9825015346734257,0.08459965214227609,1.0,0.9121277632090646,0.1742095208711906,0.8,0.7958647613738374,0.18220940112627587
PercentPerez,0.0,0.002826444274141216,0.02972390567950682,0.0,0.06514324300071996,0.12815132389900583,0.38235294117647056,0.36191041360682524,0.28236764585866947,0.0,0.06991700265992383,0.16488518705534372,0.42857142857142855,0.4038277261383607,0.22423313818572374,0.0,0.005882409336981152,0.04073356031663351,0.0,0.03080176858222197,0.09466159862159387,0.18181818181818182,0.1947395115618617,0.18061856382635183
PercentOSN,0.0,0.0016378577923936747,0.028118693349649213,0.0,0.014725718764342607,0.07516248847935134,0.0,0.001925824735698835,0.018960086627735077,0.0,0.0013823253655541948,0.020900255462372418,0.0,0.0027214580092303074,0.022493570138837727,0.0,0.0057830156330067935,0.05216772814547621,0.0,0.015190796320367142,0.08111967303310583,0.0,0.005523402816396496,0.038964585908686414
PercentBuyUp,0.0,0.00220269196119645,0.03250268050095886,0.0,0.016850671714578713,0.08019425090890805,0.0,0.0011455088932774574,0.017753353697306073,0.0,0.0044108484949972855,0.04419239132921973,0.0,0.001572370840498373,0.012999401692881413,0.0,0.005833040356601828,0.05243378979054641,0.0,0.04187967188834132,0.13545092675768325,0.0,0.003872324247896377,0.029356342880842292
AVGDneyZaloga,0.0,8.491586755925457,17.309414321537005,19.0,22.97294435215947,19.996481005692402,44.0,43.01617347550018,22.282042860787158,8.5,18.588212782242632,22.975784356067663,49.0,47.1846574272887,21.91807771099896,0.0,9.07374795808598,17.953090029485026,3.0,14.88461297660538,20.93834691439631,38.0,38.38829572343741,20.017399141853343
AVGDneySProshZB,0.0,10.609809420420964,60.048633504419634,124.0,225.88029485049833,269.24600232048823,79.0,143.46411884509405,170.94801566517276,0.0,48.08132414848833,132.31961916051202,65.0,142.48929663608564,233.72899423042904,0.0,21.041087294314515,87.21181403996589,67.0,165.63975207128993,239.59648462474027,91.0,122.12673861603278,100.85388690395615
AVGWeightGross,3.5299999713897705,5.473142230885656,5.551119494447306,3.733299970626831,5.216733922725125,4.767191311058612,6.0131001472473145,8.724317469697157,8.285757255428365,47.22500038146973,55.64852447766159,30.7994672126017,5.451099872589111,7.661852534455824,6.8433807289088096,3.390000104904175,5.000952540033118,4.847136731476999,3.759999990463257,5.324637458300898,4.806169108156302,4.209099769592285,6.0847668569855795,5.685643753280171
AVGCostPerGram,1163.0620727539062,1154.5153391854005,256.2410049961275,1073.5596923828125,1079.849878000817,212.65840462895562,1066.7213134765625,1073.2201213272258,197.99729695669447,1250.2073364257812,1227.321246861043,404.71749411803023,1010.41162109375,1033.5161024611511,196.90640835443006,1134.1804809570312,1142.0703394386871,235.94693739045604,1167.388671875,1152.321582500347,219.0583486321727,1039.3973388671875,1057.9703992219586,199.25297532461374
AVGCost,4050.0,6390.180806767746,6538.251670202229,3996.0,5676.9855475428885,5258.3779871179095,6298.62841796875,9351.781600635895,8980.248855955122,55784.75,66727.51749179284,38830.466381676546,5492.6748046875,7806.819409974745,6930.079569936538,3810.0,5701.115527865792,5630.809737640269,4291.0,6166.823020151213,5706.369180498695,4407.16650390625,6434.998576000172,6088.390552711372
AVGPercentPerDay,0.3499999940395355,0.3395017103573057,0.07829533335339973,0.3433000147342682,0.35543392653239775,0.10315553170800394,0.3149999976158142,0.3220882711598898,0.06260729761789648,0.30000001192092896,0.29658756381448914,0.07416752426410961,0.30809998512268066,0.31798010933251053,0.067951721958851,0.3499999940395355,0.3329553173214424,0.08325170316767694,0.3499999940395355,0.35511231645240476,0.08270041461107157,0.3343999981880188,0.34532927813371456,0.07757139413487545
MINPercentPerDay,0.3499999940395355,0.3357308054138751,0.08112363997614395,0.30000001192092896,0.2981744192164713,0.07878242918505143,0.25,0.26186534222356,0.06111537748899623,0.30000001192092896,0.27678339334024443,0.08029685011033097,0.25,0.25164226894487174,0.05818917913491923,0.3499999940395355,0.32646987875007366,0.08752618511905987,0.33000001311302185,0.3258657675953036,0.07606337541909029,0.25,0.2842119237736023,0.0706083336998757
MAXPercentPerDay,0.3499999940395355,0.34302469582649814,0.07913164320568292,0.38999998569488525,0.408718437509011,0.2290665042309142,0.36000001430511475,0.38377860333086333,0.1230738130601722,0.33000001311302185,0.3206046706858924,0.1083056883117731,0.3499999940395355,0.38737718848033703,0.17073279412770978,0.3499999940395355,0.33905504124819497,0.08482677361836262,0.3499999940395355,0.3829932993532016,0.15868300112881176,0.38999998569488525,0.40261095281256704,0.17176604099972564
OverPayAmount,0.0,0.0,0.0,0.0,0.0,0.0,780.0,5800.315587621314,24259.62374639788,0.0,2225.889438834995,15792.525259369913,0.0,1272.3472049763272,5840.918426562542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PercentAmount,0.0,91.09484405335073,363.8238495111058,0.0,127.97509720010677,439.77742092338104,0.0,75.11312323816524,461.7344073627436,0.0,1268.0744101129817,3438.715508497856,0.0,140.63658062001363,648.0653511679317,0.0,74.41755617896983,320.1299332814812,0.0,60.268981615416,325.4081184373984,0.0,147.6910186391099,518.7879631559064
isGoodZB,0.0,0.3372987153971413,0.472791351746861,0.0,0.48114617940199333,0.49964959442139817,0.0,0.4925122798610279,0.4999738811164353,0.0,0.49866054343666283,0.500046050282049,0.0,0.47055761598021995,0.4991486323589001,0.0,0.32500298816685924,0.46837829900458144,0.0,0.33219942817789094,0.4710070041166091,0.0,0.4405263461649449,0.49646461055176905
labels,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,7.0,0.0
