94976,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
PartnerID,32432,34%,,4217,4%,,17040,18%,,1677,2%,,409,0%,,11694,12%,,4573,5%,,3854,4%,,2434,3%,,16646,18%,
Sex,0,0.452577701,0.497753719,0,0.29049087,0.454042742,0,0.40850939,0.491572629,1,0.64281455,0.47931305,0,0.281173594,0.450122632,0,0.21754746,0.412595589,0,0.378088782,0.484962973,0,0.36274001,0.480853086,0,0.33032046,0.470425099,0,0.388261444,0.487369228
Age,32,33.46386285,10.17657563,32,33.88380365,11.42308932,33,34.31115023,9.710512235,38,39.490161,11.52249765,33,33.95354523,9.841154752,56,51.1300667,15.47046957,34,35.79029084,9.407605318,37,38.22677737,10.65037656,36,37.16598192,9.513115167,34,35.28150907,9.700993401
CreditCondition,0,6.00E-05,0.011105628,1,1.061180934,0.575886273,1,0.999706573,0.017127707,0,0.766249255,1.339764902,6,6,0,0,0.004104669,0.077263432,3,3,0,5,4.644006227,1.37490547,4,4,0,2,2.224137931,1.055866371
LifeTimeMonth,0,0.076313518,1.171623995,4,6.698600901,8.832565479,6,13.05123239,15.33202053,0,8.849731664,15.77137774,18,23.26650367,16.15913139,0,12.39216692,18.91538528,39,35.85436256,16.39358301,41,39.20550078,14.23692996,37,36.54847987,16.05547795,31,31.04265289,16.93097275
SumAmountzb,4130,6801.680403,7675.287829,12774,19325.87612,20927.90252,13876.5,33192.30612,71356.35763,109812,542928.6777,2415169.385,28901,44080.39221,65881.57053,10250,34918.70747,78742.0451,41800,90875.38164,153245.8582,82032.02344,277715.2017,978607.9228,73933.5,161027.4706,274945.2453,27347.90039,55281.61739,86527.77807
AVGAmountzb,4000,6442.953311,6784.239385,4522,6403.642902,5820.053705,4450,6504.010093,6201.98509,61951,74367.0719,42434.02808,5037.5,6464.01174,6113.228128,5000,7427.799884,7163.298196,4480,6586.392794,6458.669506,5433.12793,8025.985615,7720.081993,5450.409668,7907.32545,7318.893557,4075,5820.114501,5471.624839
ZB,1,1.048131475,0.262098441,3,3.01754802,1.679538475,3,4.738262911,6.520890836,1,6.942754919,25.26601319,6,6.875305623,8.886628061,1,5.017786899,8.701922199,8,13.28602668,12.20865079,13,29.5194603,59.62416689,12,20.14338537,19.35744374,7,9.036164844,8.260261207
Good,0,0.37953256,0.513675751,0,0.400047427,0.727626433,2,2.842312207,5.051418767,1,4.16935003,12.45210166,0,0.251833741,0.684315037,1,4.046861638,8.252453874,6,10.56046359,11.46404982,12,26.69719772,56.37676737,11,17.57970419,17.97684309,4,6.96683888,7.922975913
PercentGood,0,36.41372718,47.94581811,0,23.15107009,38.81316587,50,54.29696445,39.61241268,50,48.80951422,46.42179803,0,5.559305155,14.82635803,90.90908813,59.68681269,45.81154806,80,72.77417538,27.6295334,92.30769348,85.95315699,17.51431059,88.8888855,85.61513604,14.86263536,78.26087189,67.87582384,33.28731128
PromotionID,0,0.023279477,0.150792056,0,0.026559165,0.160810162,0,0.002288732,0.047787322,0,0.16935003,0.375172666,0,0,0,1,0.886779545,0.316875638,0,0.00677892,0.082063626,0,0.036066424,0.186479652,0,0.006984388,0.0832974,0,0.003063799,0.055268397
PercentNew,1,0.997097003,0.03751109,0.5,0.503590969,0.119997251,1,0.917170421,0.158099988,1,0.926557444,0.165802386,1,0.86191471,0.209356066,1,0.917810265,0.169383075,0.8,0.784265446,0.181049062,0.638888889,0.650353045,0.261646055,0.583333333,0.584933074,0.174211364,0.960769231,0.85260468,0.188161045
