,25%,50%,mean,75%,25%,50%,mean,75%,25%,50%,mean,75%,25%,50%,mean,75%,25%,50%,mean,75%,25%,50%,mean,75%,25%,50%,mean,75%,25%,50%,mean,75%
PartnerID,187001.0,1164785.0,1188065.1133685494,1813001.0,4386051.5,4652172.0,4678290.643878545,5021963.75,2408666.0,3716282.5,3391288.028766577,4559590.75,1982779.0,4508171.0,3676067.2691629585,5182816.5,308070.0,1408391.0,1562546.5541383333,2309034.0,74744.0,162985.0,554658.0857142857,1130045.0,2427790.0,4460429.0,3732591.810282776,4812086.0,156665.0,327566.0,634849.7419354839,1153411.5
Sex,0.0,0.0,0.32872815928484356,1.0,0.0,0.0,0.450346841913107,1.0,0.0,0.0,0.39395752318276994,1.0,0.0,0.0,0.2139199059692721,0.0,0.0,0.0,0.3754073954854545,1.0,0.0,0.0,0.3238095238095238,1.0,0.0,1.0,0.6416452442159383,1.0,0.0,0.0,0.4154838709677419,1.0
Age,30.0,36.0,37.32263307598537,44.0,26.0,32.0,33.46419009370817,40.0,27.0,33.0,34.06840163525775,40.0,38.0,56.0,51.2406179162119,62.0,28.0,34.0,35.64463042691023,42.0,34.0,42.0,41.15238095238095,49.0,31.0,38.0,39.6586118251928,47.0,28.5,34.0,34.67612903225807,41.0
CreditCondition,4.0,4.0,3.9914668833807396,4.0,0.0,0.0,0.0065717415115005475,0.0,1.0,1.0,1.100209392760993,1.0,0.0,0.0,0.011250104945008815,0.0,2.0,2.0,2.5548223554500464,3.0,8.0,8.0,7.371428571428571,8.0,0.0,0.0,0.8946015424164524,1.0,7.0,7.0,7.0,7.0
LifeTimeMonth,23.0,38.0,36.68061763510768,51.0,0.0,0.0,0.10399172447365218,0.0,2.0,6.0,11.901186558978962,16.0,0.0,0.0,12.509445050793385,22.0,18.0,32.0,32.27453426145737,48.0,43.0,55.0,49.36190476190476,58.0,0.0,0.0,9.794858611825193,14.0,38.5,47.0,45.659354838709675,52.0
SumAmountzb,42188.23046875,75558.0,175047.90660713377,169685.15625,2350.0,4200.0,6846.149527207247,8100.0,7290.0,13550.0,28748.76853771402,28418.1494140625,4400.0,10400.0,38466.34714503252,30240.0,15000.0,32933.80078125,79573.75822084345,80925.0,442955.0,862904.375,3937660.6253348216,2658853.0,60700.0,111993.0,462471.0304486664,298977.0,6796.0,13230.0,27557.797247668852,27550.0
AVGAmountzb,3535.928466796875,5492.92822265625,7903.711914037699,9371.7099609375,2300.0,4000.0,6366.515686491044,7700.0,2749.449951171875,4452.583251953125,6407.797005727458,7760.0,3000.0,5000.0,7373.36023141635,8864.568359375,2763.867919921875,4345.49365234375,6103.459662463724,7275.0,5964.6708984375,9280.2255859375,19287.677540225075,21185.41015625,47200.0,57500.0,69537.26690984496,77587.0,2161.75,3533.333251953125,5375.942068894909,5981.22119140625
ZB,9.0,12.0,21.705404307192197,24.0,1.0,1.0,1.067238651576001,1.0,2.0,3.0,4.190397846245887,4.0,1.0,1.0,5.50457560238435,5.0,4.0,7.0,12.044863799138938,14.0,44.0,82.0,188.44761904761904,163.0,1.0,2.0,6.924935732647815,5.0,2.0,3.0,4.958709677419355,6.0
Good,7.0,11.0,19.041040227549775,21.0,0.0,0.0,0.3767189972009249,1.0,0.0,1.0,2.2036095323561673,3.0,0.0,1.0,4.486189236839896,4.0,2.0,5.0,9.665432744537883,12.0,35.0,79.0,170.34285714285716,156.0,0.0,1.0,4.660154241645245,3.0,2.0,2.0,3.547096774193548,4.0
PercentGood,77.77777862548828,88.88888549804688,85.62022466458038,100.0,0.0,0.0,36.04884182961445,100.0,0.0,50.0,48.85537336949326,100.0,0.0,90.47618865966797,59.40072493216481,100.0,50.0,80.76923370361328,70.0840059787998,100.0,92.59259033203125,95.73863983154297,92.82918833778018,100.0,0.0,57.14285659790039,50.721989134099616,100.0,50.0,70.0,70.97323507247432,100.0
PromotionID,0.0,0.0,0.008939455505891914,0.0,0.0,0.0,0.022940245831812096,0.0,0.0,0.0,0.0018945059327948948,0.0,1.0,1.0,0.8840567542607674,1.0,0.0,0.0,0.0056331227618396165,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.16041131105398457,0.0,0.0,0.0,0.0012903225806451613,0.0
PercentNew,0.0,0.0,0.017878911011783828,0.0,1.0,1.0,0.9809541195083363,1.0,0.0,1.0,0.6377006680626184,1.0,0.0,1.0,0.7460330786667786,1.0,0.0,0.0,0.39190439785941333,1.0,0.0,0.0,0.01904761904761905,0.0,1.0,1.0,0.7542416452442159,1.0,0.0,1.0,0.6270967741935484,1.0
PercentPerez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PercentOSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PercentBuyUp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVGDneyZaloga,39.0,48.0,48.53433563592036,59.0,0.0,0.0,9.288578556650846,9.0,0.0,11.0,18.73187755509024,33.0,0.0,12.0,19.56242129124339,35.0,14.0,29.0,30.747716573451896,45.0,40.0,49.0,49.161904761904765,59.0,0.0,6.0,16.917223650385605,30.0,7.0,24.0,29.024516129032257,44.0
AVGDneySProshZB,43.0,73.0,88.9703372612759,118.0,0.0,0.0,2.5944079347693805,0.0,30.0,72.0,171.49067703659387,194.0,0.0,0.0,90.2517001091428,89.0,60.0,119.0,211.87240976944435,249.0,10.0,19.0,26.19047619047619,34.0,0.0,0.0,64.79537275064267,56.0,273.5,547.0,691.5845161290323,1072.5
AVGWeightGross,3.406899929046631,5.300000190734863,7.6332507161487895,9.045999526977539,1.8899999856948853,3.2899999618530273,5.137909741146002,6.190000057220459,2.328325033187866,3.7200000286102295,5.358024821971353,6.413825035095215,2.66729998588562,4.403299808502197,6.249013808516259,7.494100093841553,2.5880000591278076,4.069499969482422,5.72805777275876,6.828800201416016,5.7967000007629395,8.031800270080566,17.3107752765928,18.295299530029297,38.68000030517578,47.439998626708984,56.74084677855582,62.81999969482422,2.506649971008301,3.9549999237060547,6.123888641941932,6.710700035095215
AVGCostPerGram,1014.5924072265625,1151.145751953125,1147.9462945621124,1286.737060546875,1227.2926635742188,1349.7757568359375,1286.0753548078849,1400.0,1169.6531677246094,1293.0406494140625,1255.4454495229063,1367.0272521972656,1139.8997802734375,1301.5213623046875,1253.2742278453195,1400.0,1040.2735595703125,1171.0751953125,1159.9804762953586,1296.5924072265625,1015.6881103515625,1108.279296875,1098.8663452148437,1246.4814453125,1225.530517578125,1349.9892578125,1308.5351306591672,1400.0,875.1765747070312,961.3640747070312,962.9208119250882,1051.0781860351562
AVGCost,3860.363525390625,5926.2724609375,8658.201938026177,10342.5,2430.0,4228.0,6635.150853525073,8022.0,2901.546875,4683.0,6753.841814359695,8127.75,3258.6666259765625,5394.0,7772.193991771163,9352.0,2971.61669921875,4660.0,6625.098792711446,7876.9443359375,6234.60009765625,9334.5048828125,20515.504221307663,21920.5078125,50078.0,60732.75,73297.54280406491,80606.0,2288.0499267578125,3693.11669921875,5765.904218986265,6350.166748046875
AVGPercentPerDay,0.2919999957084656,0.32659998536109924,0.33099199539033053,0.36250001192092896,0.33000001311302185,0.3499999940395355,0.35108933793792285,0.38999998569488525,0.3165999948978424,0.3499999940395355,0.3448301167624317,0.3867499902844429,0.15000000596046448,0.20000000298023224,0.21742952173592492,0.25200000405311584,0.30480000376701355,0.3375000059604645,0.3461938717467384,0.375,0.27469998598098755,0.3050000071525574,0.31885714190346853,0.35370001196861267,0.23330000042915344,0.30000001192092896,0.2810929588456387,0.32499998807907104,0.25,0.2913999855518341,0.30272270921737915,0.33810000121593475
MINPercentPerDay,0.23000000417232513,0.25,0.2693742403880894,0.3100000023841858,0.33000001311302185,0.3499999940395355,0.350848240234947,0.38999998569488525,0.28999999165534973,0.33000001311302185,0.32583358246817856,0.3499999940395355,0.15000000596046448,0.20000000298023224,0.18996977959093744,0.20000000298023224,0.25,0.28999999165534973,0.2887530687036099,0.3400000035762787,0.18000000715255737,0.2199999988079071,0.2354285717010498,0.27000001072883606,0.20000000298023224,0.27000001072883606,0.25883804989887693,0.30000001192092896,0.20000000298023224,0.25,0.236387097470222,0.25
MAXPercentPerDay,0.3400000035762787,0.3700000047683716,0.3873953678437434,0.4000000059604645,0.33000001311302185,0.3499999940395355,0.3513213447320631,0.38999998569488525,0.33000001311302185,0.3499999940395355,0.36070445520189137,0.38999998569488525,0.15000000596046448,0.20000000298023224,0.24527411903219892,0.33000001311302185,0.3499999940395355,0.3700000047683716,0.4006578670421539,0.4000000059604645,0.3499999940395355,0.4000000059604645,0.4221904768830254,0.44999998807907104,0.27000001072883606,0.30000001192092896,0.3062930615901334,0.3499999940395355,0.25,0.3499999940395355,0.3528645187039529,0.4000000059604645
OverPayAmount,322.5,738.9400024414062,4172.852040327646,1980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.79905032125396,0.0,480.0,1155.5999755859375,17185.903980291456,4665.60009765625,0.0,0.0,2207.8326180308522,0.0,0.0,0.0,0.0,0.0
PercentAmount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isGoodZB,0.0,1.0,0.5062982527427875,1.0,0.0,0.0,0.3589509553364975,1.0,0.0,0.0,0.39689899292053044,1.0,0.0,1.0,0.5506674502560658,1.0,0.0,1.0,0.5132177201947451,1.0,0.0,1.0,0.5523809523809524,1.0,0.0,0.0,0.41645244215938304,1.0,0.0,1.0,0.5406451612903226,1.0
labels,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0
