,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean
PartnerID,1672494.0,2197562.173766603,1258432.0,1439919.7546538373,1342353.0,1667096.663089369,985533.0,754789.1972265024,1586672.0,1836477.4479544226,123909.5,427106.5740386912
Sex,1.0,0.5804079696394687,0.0,0.3480956299719356,0.0,0.3588362525160391,0.0,0.14126996999432326,0.0,0.3632112555261734,0.0,0.19960592309529496
Age,38.0,39.793406072106265,34.0,35.73067882087316,33.0,36.48770941335396,37.0,39.07209472062282,32.0,33.45398854435743,45.0,45.84935514688321
CreditCondition,0.0,1.0640891840607212,2.0,2.521592707476103,0.0,0.10217716764229332,0.0,0.022139323655826777,1.0,1.2066303870618624,4.0,2.9267972295199427
LombardRating,0.0,1.1075901328273245,3.0,3.0096938237218036,0.0,0.004044905766396109,0.0,0.028545941123996433,1.0,1.2379445187507019,3.0,2.7372820635299737
SumAmountzb,84300.0,348494.4041811514,31682.0,70312.21912499549,4350.0,13301.40382477745,5632.0,7926.154971409749,11648.0,29400.705698105165,539792.5,1114910.843537288
AVGAmountzb,40947.5,50585.5015927512,4333.0869140625,5890.440716792317,3388.0,4977.188231987953,4620.0,5982.765823400144,3900.0,5528.030495502478,6291.806884765625,9533.354174515329
ZB,2.0,6.6573055028463,7.0,11.232187546158553,1.0,2.368371223054808,1.0,1.3513908036655584,3.0,4.780739818057442,80.0,100.687903033198
Good,1.0,5.692884250474384,6.0,9.716925154565212,0.0,1.4872648970685016,0.0,0.024166734247019706,1.0,2.7279642240895217,74.0,92.32565082397899
PercentGood,100.0,73.47441404673361,93.75,79.90221994521812,0.0,41.17127983199271,0.0,1.0745531628480087,50.0,46.270027368459616,97.22222137451172,93.51130207666804
Promo,0.0,0.24686907020872864,0.0,0.03517545525521724,0.0,0.2870170455638814,0.0,0.007866353093828563,0.0,0.05601217034397558,0.0,0.2750776212085025
QntNew,2.0,4.14022770398482,5.0,7.3032263509949145,1.0,1.9065534400942143,1.0,1.3363879652907307,2.0,3.8044576947816586,38.0,48.17631956054454
QntPerez,0.0,2.4763757115749527,1.0,3.814479542529172,0.0,0.4206163189433213,0.0,0.0004054821182385857,0.0,0.859224242671758,42.0,52.13953904943874
QntOSN,0.0,0.008633776091081595,0.0,0.048042877339579244,0.0,0.023222608367682317,0.0,0.01386748844375963,0.0,0.036572292047415335,0.0,0.2131597802722713
QntBuyUp,0.0,0.03206831119544592,0.0,0.06643877529488722,0.0,0.017978855649590314,0.0,0.0007298678128294542,0.0,0.08048558855660945,0.0,0.1588846429424409
AVGDneyZaloga,26.0,26.995872865275143,37.0,36.894304825810806,0.0,12.46347076776237,0.0,0.20184899845916796,4.0,19.521905598154028,55.0,52.20581561977549
AVGDneySProshZB,0.0,42.92504743833017,68.0,127.07731425798147,0.0,24.62468778022807,0.0,15.71016138188306,65.0,153.9594968502088,19.0,18.931693336517792
AVGWeightGross,40.880001068115234,49.36077620090751,4.347499847412109,5.899054215278329,3.7200000286102295,5.349658761417836,4.416600227355957,5.7020241348905945,3.9149999618530273,5.408172430694404,6.272249937057495,9.331066796056339
AVGCostPerGram,1152.9779052734375,1144.5583514532962,1094.0650634765625,1092.091939228207,903.614013671875,964.3679968977614,1089.5733642578125,1049.1675998959051,1046.1484375,1063.9293505675641,1107.4376220703125,1113.5258212068754
AVGCost,43600.0,53941.00255555473,4685.8779296875,6407.201910157105,3518.60009765625,5189.736756962728,4620.0,5986.314280661457,4078.425048828125,5805.261905770068,6826.73876953125,10316.632493191526
AVGPercentPerDay,0.299249991774559,0.29077187507029845,0.33329999446868896,0.34134603754110115,0.33000001311302185,0.326477627663069,2.700000047683716,2.5568910307010664,0.3499999940395355,0.35325070002319076,0.2987000048160553,0.3076658048516872
MINPercentPerDay,0.25,0.26713852227596563,0.28999999165534973,0.2924143833598384,0.30000001192092896,0.31449344515784877,2.700000047683716,2.3896675461371655,0.33000001311302185,0.32280091541757916,0.20000000298023224,0.22848220861396557
MAXPercentPerDay,0.33000001311302185,0.31724952700736964,0.3499999940395355,0.3881466517770955,0.3499999940395355,0.34046091258232564,2.700000047683716,2.700000047683716,0.3499999940395355,0.3854902341706111,0.3799999952316284,0.4266401961159316
OverPayAmount,0.0,6919.739541620276,0.0,613.0686074757665,0.0,313.3242886980444,432.44000244140625,1168.5776957770343,0.0,227.81181399047935,0.0,2592.1337642009144
BudetSledVisit3M,0.0,0.43719165085388995,0.0,0.4383828153024836,0.0,0.17904962033306007,0.0,0.024004541399724272,0.0,0.22664202648479218,1.0,0.8346668258896585
BudetSledVisit6M,0.0,0.4652751423149905,0.0,0.4871431284421093,0.0,0.19243898965874234,0.0,0.04841456491768713,0.0,0.2353307536015846,1.0,0.8740745163601624
BudetSledVisit12M,0.0,0.4853415559772296,1.0,0.5319913063661876,0.0,0.20690789853482813,0.0,0.073392263401184,0.0,0.24075227428198034,1.0,0.8969429185574397
labels,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0
