,mean,mean,mean,mean,mean,mean
PartnerID,771197.9950769068,1024730.7085830618,1689024.5083521912,376675.1765333251,1574965.7679322548,2142477.7874031025
Sex,0.6313268401724413,0.28995566318263566,0.3102230130076526,0.2646686039322369,0.30278865072688466,0.31753033619135107
Age,42.30879770078237,40.166827513755095,39.31823835270949,41.969001174724866,39.542098591190246,38.83131680034084
CreditCondition,2.7465538346905105,2.2078013805547148,1.8486154537131407,2.536694695189811,1.9143103460262945,1.584515957454026
LombardRating,2.387141412528607,2.318364464070559,2.1113164849971495,2.481714480029677,2.143722233423484,1.9511310178821721
SumAmountzb,10344996.994062403,212689.00646001307,159401.31120631544,311685.90454930917,169799.15447068337,119102.43029939961
AVGAmountzb,65613.72687503677,7069.969096233619,7343.662708653272,6952.64213250166,7282.595557506891,7533.747674046916
ZB,270.48044068337856,27.068625321249026,19.672968957833096,40.193427723506865,21.319219743267077,14.554664846653488
Good,230.49087231891,24.95476220152775,18.028926048126586,37.18178094472611,19.587924885109814,13.28023273011475
PercentGood,84.11427134014355,83.45591974265834,81.48689110068491,86.73292311321642,81.73943189007417,80.06643597223403
QntNew,151.0382138485284,16.79386644349875,12.540724489972188,24.374969086187708,13.45190834741216,9.481231114084162
QntPerez,118.68771621693544,10.169322720986687,7.025229318177892,15.697763385680721,7.759515085782354,4.9622994039275925
QntOSN,0.4606152536058332,0.0661645388555522,0.05376669142669592,0.0801672437244961,0.05664903047284003,0.044312617114727317
QntBuyUp,0.2938953643089042,0.0392716179080382,0.053248458256318125,0.040528007913935946,0.05114727959972097,0.06682171152700643
AVGDneyZaloga,41.10798871680238,37.448713520058405,34.301119383648015,42.39011685421046,34.98173576300292,32.09604052152604
AVGDneySProshZB,14.013970940443876,75.23023331730798,64.21335659624454,78.79246784963522,66.30378054178573,55.234916030182184
AVGWeightGross,60.19469558405239,7.263289984854834,7.132720028526732,7.423027888718122,7.146100259735568,6.984189424413123
AVGCostPerGram,1179.3968214679599,1056.0535778822987,1120.6257345951994,1014.7755144390653,1106.0463287892678,1170.0981682479783
AVGCost,70054.23557043342,7638.494045581952,7935.5347469868675,7517.6726551392,7857.9449440479775,8126.332508197144
AVGPercentPerDay,0.26645328406302216,0.33174549878964216,0.33251028419051654,0.33094915769454375,0.331862608617512,0.33394008684497695
MINPercentPerDay,0.18686066529909312,0.2702320125506467,0.2849995688450312,0.26257056167932635,0.28094338651535056,0.29724038733708896
MAXPercentPerDay,0.39755096075615903,0.39852756626255414,0.38207094538390257,0.4160565571715295,0.38486816822628017,0.37173360218125445
OverPayAmount,23992.721538885802,827.4940872667152,654.0197276951795,972.760706236443,671.4229597002062,509.6050751254669
BudetSledVisit3M,0.9564904997604982,0.7911516295412594,0.7519995163157076,0.8471543835785829,0.7609704773359846,0.7260061520425622
BudetSledVisit6M,0.9680664218425674,0.8403091113049981,0.8031404930124895,0.8919484975887226,0.8114873962627955,0.7778697433211532
BudetSledVisit12M,0.9740273564319548,0.8700450490553943,0.8361173970875296,0.9171046123407939,0.8427899021782206,0.8124183334667587
labels,0.0,0.0,1.0,2.0,3.0,4.0
