,50%,std,50%,std,50%,std,50%,std,50%,std,50%,std
PartnerID,146389,1048038.284,1050666,1013903.15,1511730,1418327.623,1958031,1375427.217,139780,628459.5469,1555806,1362820.233
Sex,1,0.482637598,0,0.453865655,0,0.4609159,0,0.465277254,0,0.442641211,0,0.462285327
Age,41,12.45946719,38,12.98241807,37,13.05778168,36,12.99008297,40,13.03807599,37,12.95776543
CreditCondition,3,2.079080248,2,1.740185679,2,1.69401611,1,1.599778424,2,1.771274196,2,1.693362522
LombardRating,2,2.259906371,2,1.956448031,2,1.911340592,2,1.84935336,2,2.043913508,2,1.903358448
SumAmountzb,6285227.25,15931407.26,64716.85156,460330.6522,39730,399851.0742,26450,325753.4316,122100,577566.9022,38850,395717.7923
AVGAmountzb,56740.69922,54898.00416,4700,7664.551789,4751,8167.445281,4850,8546.244755,4739.867676,7257.055317,4781.5,8190.906587
ZB,203,339.1670129,14,37.59358874,8,32.84910577,5,26.24294609,25,45.55114305,8,32.14801318
Good,150,332.7132683,12,35.91562992,7,31.31488854,4,25.03792569,23,43.57841109,7,30.69792696
PercentGood,96.66666412,27.67736392,97.46192932,28.74896027,100,32.10874118,100,34.40013481,96.15384674,22.83036984,100,32.2112529
Promo,0,0.365063201,0,0.364987398,0,0.364553579,0,0.362032723,0,0.361114274,0,0.363156207
QntNew,115,156.1630127,9,22.60503783,6,19.70038816,4,15.902674,16,27.1370163,6,19.23770587
QntPerez,58,237.3577402,2,19.96495208,1,17.08835052,0,13.29772375,6,25.36176317,1,16.76398957
QntOSN,0,3.042675403,0,0.419662121,0,0.375385356,0,0.341668064,0,0.446567993,0,0.346872937
QntBuyUp,0,2.781516141,0,0.337321849,0,0.402073545,0,0.431684182,0,0.410980497,0,0.383446317
AVGDneyZaloga,41,19.23778162,37,22.47910678,34,22.76046913,31,22.52745915,43,22.01073511,34,22.68899285
AVGDneySProshZB,5,42.69891104,36,134.1003663,31,121.6594325,26,105.8370561,38,140.6077127,31,119.5876938
AVGWeightGross,48.65444946,56.78343617,4.884600163,7.743008943,4.684000015,7.712848523,4.543499947,7.74711685,5.113500118,7.609204864,4.715000153,7.751575238
AVGCostPerGram,1140.334839,267.7175988,1039.041626,200.3213391,1108.064453,221.9708302,1198.266724,226.1643623,995.2595825,172.1964604,1112.52356,220.4953947
AVGCost,61408.34375,57937.3811,5075.879883,8254.655167,5125,8759.794541,5227.5,9131.682429,5099.001465,7870.943349,5164.131348,8773.577211
AVGPercentPerDay,0.256900012,0.058679551,0.324699998,0.075056905,0.330000013,0.073384033,0.333299994,0.072355041,0.315600008,0.074174854,0.330000013,0.073064274
MINPercentPerDay,0.180000007,0.04740657,0.25,0.076124144,0.25,0.079230287,0.300000012,0.080156932,0.25,0.069214415,0.270000011,0.079999425
MAXPercentPerDay,0.349999994,0.293002563,0.370000005,0.200568188,0.349999994,0.172905775,0.349999994,0.145725271,0.389999986,0.238280797,0.349999994,0.168410309
OverPayAmount,0,99354.35711,0,6975.200657,0,6442.715523,0,5505.813026,0,8024.744713,0,6668.350993
BudetSledVisit3M,1,0.203184385,1,0.406654816,1,0.430580455,1,0.445877478,1,0.358397587,1,0.43234059
BudetSledVisit6M,1,0.174482732,1,0.366336452,1,0.396479759,1,0.415520504,1,0.309788834,1,0.398231183
BudetSledVisit12M,1,0.157542111,1,0.336263549,1,0.370085783,1,0.390182934,1,0.275322775,1,0.371185455
labels,0,0,0,0,1,0,2,0,3,0,4,0
