,,,,,,,,,,,,
,0.50,mean,0.50,mean,0.50,mean,0.50,mean,0.50,mean,0.50,mean
PartnerID,37224,,969887,,271921,,779345,,123285,,112343,
Sex,1.00,63%,0.00,29%,0.00,31%,0.00,32%,0.00,27%,0.00,31%
Age,41.00,42.33,38.00,40.16,37.00,39.49,36.00,38.84,40.00,41.77,37.00,39.38
CreditCondition,3.00,2.76,2.00,2.21,2.00,1.86,1.00,1.58,2.00,2.55,2.00,1.85
LombardRating,2.00,2.39,2.00,2.32,2.00,2.10,2.00,1.95,2.00,2.49,2.00,2.11
SumAmountzb,6285227.25,10405154.66,64716.85,213094.12,39730.00,162613.64,26450.00,118635.93,122100.00,317363.17,38850.00,159265.40
AVGAmountzb,56740.70,65624.65,4700.00,7081.28,4751.00,7322.28,4850.00,7540.32,4739.87,7002.08,4781.50,7354.55
ZB,203.00,272.72,14.00,27.01,8.00,20.33,5.00,14.48,25.00,40.52,8.00,19.74
Good,150.00,232.59,12.00,24.90,7.00,18.65,4.00,13.20,23.00,37.46,7.00,18.10
PercentGood,96.67,84.25,97.46,83.45,100.00,81.46,100.00,80.04,96.15,86.73,100.00,81.34
Promo,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.16,0.00,0.15,0.00,0.16
QntNew,115.00,151.90,9.00,16.78,6.00,12.89,4.00,9.45,16.00,24.47,6.00,12.50
QntPerez,58.00,120.06,2.00,10.12,1.00,7.33,0.00,4.92,6.00,15.94,1.00,7.13
QntOSN,0.00,0.47,0.00,0.07,0.00,0.05,0.00,0.04,0.00,0.08,0.00,0.05
QntBuyUp,0.00,0.28,0.00,0.04,0.00,0.06,0.00,0.07,0.00,0.04,0.00,0.05
AVGDneyZaloga,41.00,41.23,37.00,37.40,34.00,34.47,31.00,32.10,43.00,42.56,34.00,34.38
AVGDneySProshZB,5.00,13.93,36.00,75.34,31.00,64.81,26.00,54.72,38.00,79.52,31.00,64.19
AVGWeightGross,48.65,60.24,4.88,7.28,4.68,7.11,4.54,6.98,5.11,7.47,4.72,7.13
AVGCostPerGram,1140.33,1178.18,1039.04,1055.37,1108.06,1118.08,1198.27,1171.35,995.26,1013.77,1112.52,1118.78
AVGCost,61408.34,70080.23,5075.88,7649.59,5125.00,7903.24,5227.50,8134.00,5099.00,7567.86,5164.13,7933.10
AVGPercentPerDay,0.26,0.27,0.32,0.33,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33
MINPercentPerDay,0.18,0.19,0.25,0.27,0.25,0.28,0.30,0.30,0.25,0.26,0.27,0.28
MAXPercentPerDay,0.35,0.40,0.37,0.40,0.35,0.38,0.35,0.37,0.39,0.42,0.35,0.38
OverPayAmount,0.00,24163.87,0.00,816.29,0.00,660.38,0.00,505.33,0.00,1010.86,0.00,676.62
BudetSledVisit3M,1.00,0.96,1.00,0.79,1.00,0.75,1.00,0.73,1.00,0.85,1.00,0.75
BudetSledVisit6M,1.00,0.97,1.00,0.84,1.00,0.80,1.00,0.78,1.00,0.89,1.00,0.80
BudetSledVisit12M,1.00,0.97,1.00,0.87,1.00,0.84,1.00,0.81,1.00,0.92,1.00,0.83
labels,0.00,0.00,0.00,0.00,1.00,1.00,2.00,2.00,3.00,3.00,4.00,4.00
