,,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean
PartnerID,,1285667.5,1360666.47,2292105,2694121.446,288263.5,748660.5569,2417147,2605917.661,1439856,1583036.182,2417147,1533225.613
Sex,,0,0.309678575,0,0.356867465,0,0.281879011,0,0.363817332,0,0.372167862,0,0.350636974
Age,,36,36.97842666,35,39.05796291,40,41.23427302,33,34.55888901,34,35.46728145,33,36.0116892
CreditCondition,+,4,3.495726277,0,0.047073703,5,4.125185104,1,0.992178758,2,2.16226028,1,2.638218419
LombardRating,+,4,3.733954345,0,0.120601375,5,3.990429441,1,1.224413112,2,2.237995153,1,2.869843431
SumAmountzb,+,68664.17969,143452.8176,5500,23911.67604,226058.8359,619601.107,14150,43218.9154,23197.30078,55908.08997,14150,89928.43727
AVGAmountzb,+,5193.851563,8106.106046,4300.177734,7538.932872,6258.030762,11028.40678,4529.007813,7131.624902,4097.384766,6212.442855,4529.007813,7107.017467
ZB,+,12,18.47254069,1,3.204063565,32,52.99854659,3,5.562234237,5,8.450879434,3,12.28096859
Good,,11,16.93226021,1,2.435344036,31,49.38301431,2,3.518604898,3,6.861151057,2,10.63012739
PercentGood,+,96.92308044,91.61718633,50,49.11290657,97.72727203,92.82165478,50,53.49691944,87.5,73.21800384,50,83.42928427
Promo,+,0,0.024209233,0,0.351220905,0,0.112789996,0,0.029965723,0,0.02357224,0,0.033667218
QntNew,,7,10.14840311,1,2.296521899,13,24.20331267,2,4.186037198,4,6.447832339,2,8.751920646
QntPerez,+,5,8.229936534,0,0.8640705,18,28.64501179,0,1.169405279,0,1.825491005,0,3.422347564
QntOSN,,0,0.046140854,0,0.019660962,0,0.080019744,0,0.056633332,0,0.071108921,0,0.054030925
QntBuyUp,+,0,0.04806019,0,0.023810204,0,0.07020238,0,0.150158427,0,0.106447169,0,0.052669454
AVGDneyZaloga,+,52,51.84553178,1,17.45185941,56,52.49012779,17,23.57406033,26,28.92826758,17,40.7540601
AVGDneySProshZB,,55,72.2754632,0,25.74977663,35,68.52394011,54,137.9970553,98,196.7116121,54,103.7632792
AVGWeightGross,+,5.073199987,7.863792952,3.99000001,6.780221527,6.384599924,10.87112946,4.076600075,6.318417258,4.005000114,6.050819645,4.076600075,6.846255563
AVGCostPerGram,,1144.226563,1136.073099,1169.841187,1160.587616,1091.900208,1097.332459,1218.486572,1184.796063,1120.558838,1116.756984,1218.486572,1131.981247
AVGCost,+,5667.39209,8825.153318,4563,7936.03753,6861.808594,11968.27842,4770.5,7558.760412,4439,6805.289667,4770.5,7768.659309
AVGPercentPerDay,+,0.326299995,0.329883079,0.342799991,0.323585993,0.30399999,0.312140981,0.349999994,0.351406278,0.340000004,0.34976667,0.349999994,0.34097915
MINPercentPerDay,+,0.25,0.272786623,0.330000013,0.312148793,0.239999995,0.244552187,0.330000013,0.323915686,0.300000012,0.294687498,0.330000013,0.285457552
MAXPercentPerDay,,0.349999994,0.385908742,0.349999994,0.337552722,0.360000014,0.395963089,0.349999994,0.378677455,0.379999995,0.39987902,0.349999994,0.392346007
OverPayAmount,,360,2334.308383,0,3.01696877,556.7999878,4732.047052,0,0.774278953,0,8.964456191,0,26.18750734
BudetSledVisit3M,,1,0.668901628,0,0.238620183,1,0.686557341,0,0.316006455,0,0.347952011,0,0.521812701
BudetSledVisit6M,,1,0.728784932,0,0.255596581,1,0.73572643,0,0.349611883,0,0.388781062,0,0.569055723
BudetSledVisit12M,,1,0.762206981,0,0.275996002,1,0.755333736,0,0.391933755,0,0.437926769,0,0.618049207
labels,,0,0,1,1,2,2,3,3,4,4,3,5
