,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,50%,mean,,
Count,245391,44%,91751,16%,101961,18%,41884,8%,38767,7%,36644,7%,,—ильна€ просадка по клиента при переходе с первого на второй кластер и с 3го на четвертый
Sex,0,0.357352144,0,0.365554599,0,0.36700307,0,0.353452392,0,0.308251864,0,0.282938544,,"” третьего слишком большой процент, а % возврата уже большой - может €вл€тьс€ причиной оттока"
Age,35,39.08,33,34.60,34,35.49,34,36.06,36,36.94,40,41.21,,
CreditCondition,0,0.014943498,1,1.249970028,2,1.967281608,3,2.938425174,4,3.600975056,5,4.143788888,,
LombardRating,0,0.109877705,1,1.519765452,2,2.111836879,3,2.875966956,4,3.795805711,5,3.975875996,,
SumAmountzb,5500,23780.11716,14300,42349.10198,25170,59870.93811,38010.5,93097.0984,67791.79688,143405.7972,224998.4297,617533.2313,,
AVGAmountzb,4306,7557.128476,4500,7093.759799,4150,6272.559984,4421.973389,6923.48883,5211.724609,8131.482089,6270.197754,11059.98964,,
ZB,1,3.181868936,3,5.516790008,5,8.957003168,7,12.83377901,12,18.3324477,32,52.81459448,,
Good,1,2.444588432,2,3.55704025,4,7.387932641,6,10.96411518,11,16.62728609,30,49.21842594,,
PercentGood,50,49.57848071,60,55.84474021,88.8888855,74.34250442,89.47368622,81.08243632,96.15384674,88.89852781,97.72727203,92.84768319,,
Promo,0,0.353044733,0,0.029808939,0,0.021890723,0,0.026072008,0,0.024531173,0,0.11243314,,
QntNew,1,2.2746637,2,4.174406818,4,6.764576652,6,9.155930666,7,10.08205432,13,24.10558345,,
QntPerez,0,0.865903803,0,1.150243594,0,2.007257677,2,3.578120523,5,8.141512111,17,28.55973693,,
%tPerez,,27%,,21%,,22%,,28%,,44%,,54%,,
QntOSN,0,0.019030853,0,0.054190145,0,0.073106384,0,0.055104575,0,0.048236903,0,0.079767493,,
%OSN,,1%,,1%,,1%,,0%,,0%,,0%,,
QntBuyUp,0,0.02227058,0,0.13794945,0,0.112062455,0,0.044623245,0,0.060644362,0,0.069506604,,
%BuyUp,,1%,,3%,,1%,,0%,,0%,,0%,,
AVGDneyZaloga,1,17.59318394,19,24.4900873,27,29.48122321,41,41.56486964,52,50.55320247,56,52.3976913,,
AVGDneySProshZB,0,25.25838356,59,156.1380802,90,176.3524093,73,105.8285742,55,72.14587149,35,68.53192883,,
AVGWeightGross,3.99000001,6.793315984,4.085000038,6.351148631,4.006599903,6.026557558,4.386000156,6.838110997,5.086299896,7.88318939,6.396799803,10.90080265,,
AVGCostPerGram,1169.960815,1161.737622,1204.561768,1176.104767,1142.493774,1131.498245,1096.276611,1102.584861,1142.279907,1133.956439,1091.956421,1097.363797,,
AVGCost,4567,7958.950979,4743.473633,7527.749389,4504.759277,6877.533347,4786.51416,7564.523776,5674.785645,8836.206158,6869.25,12005.86567,,
AVGPercentPerDay,0.340000004,0.323261623,0.349999994,0.348858546,0.340600014,0.351218622,0.333499998,0.342562093,0.326599985,0.330272631,0.30399999,0.312058009,,
MINPercentPerDay,0.330000013,0.312027091,0.330000013,0.319255049,0.300000012,0.297279843,0.270000011,0.28272825,0.25,0.273278048,0.239999995,0.244478224,,
MAXPercentPerDay,0.349999994,0.337054944,0.349999994,0.377327875,0.389999986,0.400455565,0.389999986,0.399178922,0.349999994,0.385837181,0.360000014,0.395731088,,
OverPayAmount,0,2.920639349,0,0.887767983,0,8.0758588,0,15.56894035,366.2999878,2346.757264,567,4736.571179,,
BudetSledVisit3M,0,0.241858911,0,0.322012839,0,0.37689901,0,0.485650845,1,0.647199938,1,0.686688134,,
BudetSledVisit6M,0,0.259483844,0,0.358829877,0,0.422641991,1,0.513489638,1,0.706477158,1,0.735945857,,
BudetSledVisit12M,0,0.280275153,0,0.405020109,0,0.474946303,1,0.546151275,1,0.738953233,1,0.755594367,,
labels,1,1,2,2,4,4,0,0,5,5,3,3,,
,,,,,,,,,,,,,,
,“очки справа - это последний кластер,,,,,,,,,,,,,
