,50%,mean,std,50%,mean,std,50%,mean,std,50%,mean,std
SEX,0.0,0.42071881606765327,0.49419716524983026,0.0,0.41503201261946737,0.4927321247224824,0.0,0.4072984108298999,0.49133784105660383,1.0,0.5950450450450451,0.490993922334104
Age,33.0,35.75264270613108,12.600785151470168,32.0,34.7890136401596,12.112965407536882,34.0,36.38217668147038,12.46621311314637,38.0,39.67657657657658,12.279451944405814
DayFromLastVisit,663.0,652.3953488372093,223.87645593204698,630.0,634.614456713371,210.34353779566547,564.0,587.8447482476323,223.0921033548454,534.5,575.2018018018018,215.49730321726278
CreditCondition,0.0,0.0021141649048625794,0.04598004898717046,0.0,0.0034889115709381088,0.0740345131333241,0.0,0.0034779817004655144,0.08333098357375492,0.0,0.009009009009009009,0.18966042544647463
LifeTimeDay,663.0,652.3953488372093,223.87645593204698,630.0,635.3942841235965,213.27638239882558,564.0,588.4372358071593,225.27745161143602,534.5,575.8927927927928,218.66386476153113
LombardCategoryID,203.0,137.11416490486258,92.6867998744387,153.0,163.7889579660388,108.90916517192142,172.0,178.69730857723795,110.84803696195284,175.5,177.6945945945946,108.03260681297233
CityID,58.0,58.0,0.0,84.0,72.34814883548297,32.879941885968705,81.0,72.2948793407887,32.78178732008835,90.5,74.12162162162163,31.483861128596534
SumAmountzb,3370.0,5191.3171247357295,6599.512254453086,4168.0,6436.87992391566,6527.529073003773,4130.0,6533.850764616948,6616.895105691548,58000.0,70008.9108618384,42599.31477683725
AVGAmountzb,3370.0,5191.3171247357295,6599.512254453086,4168.0,6436.87992391566,6527.529073003773,4130.0,6533.000014617053,6615.622184983539,58000.0,70008.9108618384,42599.31477683725
ZB,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
PercentBad,0.0,0.4904862579281184,0.5004387654524142,1.0,0.9998329776375615,0.012922753774504542,0.0,0.0001605222323291776,0.01266888941194858,1.0,0.5531531531531532,0.49727872713361826
PercentGood,1.0,0.5031712473572939,0.5005193132141352,0.0,0.0,0.0,1.0,0.9754133447482476,0.1555532983681911,0.0,0.43873873873873875,0.49634466850590975
PercentNewBySMS,0.0,0.0021141649048625794,0.04598004898717032,0.0,0.00163310754384337,0.04037908817612441,0.0,0.004120070629782225,0.0640562676382056,0.0,0.003153153153153153,0.056076976355001515
PercentNew,1.0,0.9936575052854123,0.07947087351340472,1.0,1.0,0.0,1.0,0.9739418909518969,0.15931027274985715,1.0,0.9927927927927928,0.08460784783686127
PercentOSN,0.0,0.0021141649048625794,0.04598004898717039,0.0,0.0,0.0,0.0,0.00909625983198673,0.09494081862145941,0.0,0.0009009009009009009,0.03000824731309817
PercentSkupka,0.0,0.004228329809725159,0.06495668929261326,0.0,0.0,0.0,0.0,0.01696184921611643,0.12913013201565893,0.0,0.006306306306306306,0.07917929554810177
PercentPerezalog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MaxBadPercentPerDay,0.0,0.13334037817179778,0.13707385304871508,0.3499999940395355,0.3403034221661979,0.06938764000614576,0.0,5.377494757513128e-05,0.004290317598691227,0.15000000596046448,0.1626531550140531,0.15627691979707198
AVGBadPercentPerDay,0.0,0.13334037817179778,0.13707385304871508,0.3499999940395355,0.3403034221661979,0.06938764000614576,0.0,5.377494757513128e-05,0.004290317598691227,0.15000000596046448,0.1626531550140531,0.15627691979707198
MinGoodPercentPerDay,0.20000000298023224,0.1358139510512604,0.13661239909348183,0.0,0.0,0.0,0.3499999940395355,0.3178431151717928,0.09380296582229557,0.0,0.12270720854804322,0.14816046470829244
AVGGoodPercentPerDay,0.20000000298023224,0.1358139510512604,0.13661239909348183,0.0,0.0,0.0,0.3499999940395355,0.31784355928324554,0.09380244717254677,0.0,0.12270720854804322,0.14816046470829244
AVGDneyZaloga,0.0,10.915433403805498,23.104709024396303,0.0,0.005363273638303795,0.5764514109574397,19.0,25.617983840761944,23.533091809737737,0.0,12.121171171171172,21.522915096412707
AVGDneySProshZB,0.0,0.0,0.0,0.0,0.7795861557019579,36.25101043101712,0.0,0.5601690834180534,29.9660540391283,0.0,0.690990990990991,30.586869175181032
AVGWeightGross,2.640000104904175,4.0925158412839595,5.315738109992039,3.2699999809265137,5.003110513106711,5.042476973574718,3.609999895095825,5.545958582444922,5.500604664882597,46.260000228881836,55.26417564658431,31.05444141888866
AVGWeightNet,2.5999999046325684,3.925243119041713,4.736892780023724,3.0899999141693115,4.72453317170275,4.727932852012724,3.380000114440918,5.2053140861194676,5.1780100872843,43.90999984741211,52.63405853864309,30.621089407457415
AVGWeightNet999,1.4800000190734863,2.2904376337820582,2.80876890351765,1.7790000438690186,2.7371462003593985,2.7608023663267165,1.9539999961853027,3.0088848511312323,2.9948787081932577,25.53250026702881,30.809300871582717,18.45778903986843
AVGWeightNotBrilliant,0.0,0.16727272640071006,1.0334444907591427,0.0,0.2784882622575748,1.1320746449470822,0.0,0.34047862414331037,1.1980620217415694,0.0,2.6252522616974407,7.871407359961798
