,50%,mean,std,50%,mean,std,50%,mean,std
PartnerID,3692631.0,3706777.7348227655,1039523.8492199893,143266.0,133068.9655172414,28499.343955460197,4652122.0,4399658.8163284045,1047709.5722808382
Sex,0.0,0.44798600507019704,0.4972908711824809,0.0,0.27586206896551724,0.454858826147342,0.0,0.34273119662044266,0.474644301466368
Age,32.0,33.507227254532786,10.433047531614106,34.0,30.310344827586206,17.649571925759602,46.0,46.434383322619155,15.961261905066618
CreditCondition,0.0,0.00303915318814582,0.06538571455681486,1.0,0.9655172413793104,0.18569533817705194,0.0,0.0033060887133804758,0.11965270157405009
DateDif,0.0,7.412568751575171e-05,0.019251712588187236,57.0,54.96551724137931,6.15561740329624,0.0,0.00045917898796951054,0.03951127791390425
LifeT,21.0,21.26753443138185,6.744428114084872,75.0,74.79310344827586,2.210030871549529,15.0,16.64698319404904,6.982205546035659
SumAmountzb,4000.0,6127.611076171408,6346.272538767656,4000.0,9889.0,12283.034013281433,7000.0,18742.411450381405,30183.269977885284
AVGAmountzb,4000.0,6127.611076171408,6346.272538767656,4000.0,9889.0,12283.034013281433,7000.0,18742.411450381405,30183.269977885284
ZB,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Good,0.0,0.3621632840644597,0.4806292379922223,0.0,0.3448275862068966,0.48372528131497444,0.0,0.44420975296170445,0.4969005167269947
PercentGood,0.0,36.21632840644597,48.06292379921094,0.0,34.48275862068966,48.37252813149746,0.0,44.42097529617045,49.690051672697365
PromotionID,0.0,0.05532741316175707,0.2286199146639598,0.0,0.034482758620689655,0.18569533817705197,1.0,0.6865644228120121,0.46391106954076006
PercentNew,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
PercentPerez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PercentOSN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PercentBuyUp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVGDneyZaloga,0.0,8.939409663024625,18.032826093708216,0.0,9.344827586206897,19.282256577465503,0.0,11.574800257140232,19.976775929155863
AVGDneySProshZB,0.0,0.0025350985130387083,0.5077319283993514,1722.0,1672.6896551724137,188.0494052575918,0.0,0.011020295711268252,0.948270669933702
AVGWeightGross,3.240000009536743,4.980988687585796,5.237646070077244,3.390000104904175,8.363448359842959,12.36871744978703,5.579999923706055,14.75072733086023,23.076201271220224
AVGCostPerGram,1349.7381591796875,1285.2223401652918,213.86773136541885,1349.809814453125,1321.0189819335938,258.5333313118505,1350.0,1314.7328933334315,318.7547537610169
AVGCost,4172.0,6428.008109350214,6671.349681560668,4657.0,9993.620689655172,12320.62122568093,7235.0,19416.84231793553,31017.64593147363
AVGPercentPerDay,0.3499999940395355,0.3575090779950033,0.047475535826622214,0.3499999940395355,0.34931034414932643,0.054177682365229206,0.20000000298023224,0.20706860507220995,0.0575892019345975
MINPercentPerDay,0.3499999940395355,0.3575090779950033,0.047475535826622214,0.3499999940395355,0.34931034414932643,0.054177682365229206,0.20000000298023224,0.20706860507220995,0.0575892019345975
MAXPercentPerDay,0.3499999940395355,0.3575090779950033,0.047475535826622214,0.3499999940395355,0.34931034414932643,0.054177682365229206,0.20000000298023224,0.20706860507220995,0.0575892019345975
OverPayAmount,0.0,0.03336990214156929,6.883946975592307,0.0,0.0,0.0,0.0,22.881573748091537,1681.359990599022
PercentAmount,0.0,57.03235659427806,312.6484264951222,0.0,157.0275861805883,790.5655977807891,0.0,124.387129066207,1063.7903239430543
isGoodZB,0.0,0.3621632840644597,0.4806292379922223,0.0,0.3448275862068966,0.48372528131497444,0.0,0.44420975296170445,0.4969005167269947
labels,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0
