,mean,mean,mean,mean,mean,mean,mean,"1й кластер - довольно большой (23%) в него попали люди, не возвращающиеся и не возвращающие залог. У них самая большая стоимость за грам - возможно это обусловлено тем, что у них нет большой ретроспективы, а возможно, что эти люди специально ищут ломбарды с высокой стоимостью грамма, не собираясь больше туда возвращаться. Данной категории можно предлагать скупку, когда она будет нужна.",,"2й кластер - преобладают женщины (70%) и возрастной. Здесь почти 100% возвратов, при том что не всегда сразу - в 50% бедт перезалог. Здесь самая высокая средняя стоимость билета и самый низкий процент в день, при довольно высойкой цене за грамм.",,"3й кластер -самый молодой. Клиенты в нем первый раз приходили в среднем 2 года назад и имеют уже по 4 визита. Процент возврата тут немного больше половины. Приходят в основном за новым ЗБ, но так же здесь самый высокий процент по ОСН и скупке. Приходят в среднем раз в пол года. Хорошо реагируют на СМС.",,"4й кластер - 18% время жизни этого кластера в 2 раза больше (3.5 года), как и визитов в среднем 8. Процент новых ЗБ высок - 84%, при том что количество возвратов растет - 71%. Для данного кластера характерен самый большой процент в день. 20% вернутся в течение 3х месяцев, не считая перезалогов (еще 10%). Как и прошлый кластер очень хорошо реагируют на СМС. Хотя ходят довольно редко. Высок процент скупки.",,"5й кластер - 6% - данный кластер с нами в среднем уже 4 года. В среднем у клиентов по 15-16 визитов из которых 72% это новые ЗБ и 26% это перезалоги, которые в 80% возвращают.",,"6й кластер - 15% В отличии от других, здесь очень высокая частота посещений - практически раз в 2 - 3 мессяца. Здесь очень высокий процент возврата и высокий процент перезалогов - полоовина от всех визитов. Это клиенты которые активно пользуются услугаби ломбардов, самые благоприятные для нас.",,"7й кластер - небольшой процент людей, которые посещают ломбарды крайне редко. При этом никак не выделяясь по остальным показателям. Процент возврата здесь 56%, но и сумма билета одна из самых маленьких.",
Кластер,1,2,3,4,5,6,7,,,,,,,,,,,,,,
PartnerID,23%,17%,20%,18%,6%,15%,1%,,,,,,,,,,,,,,
SEX,44%,31%,38%,37%,36%,27%,36%,,,,,,,,,,,,,,
Age,35,44,34,35,36,43,35,,,,,,,,,,,,,,
CreditCondition,0.0,0.0,1.0,2.1,3.0,2.9,6.7,,,,,,,,,,,,,,
LifeTime,476,589,767,1316,1512,1546,1625,,,,,,,,,,,,,,
BudetPerezalog,0%,49%,24%,27%,39%,57%,24%,,,,,,,,,,,,,,
LTV,8311,22010,30155,51101,112122,235618,34027,,,,,,,,,,,,,,
AVGAmountzb,7127,11171,7401,6216,7181,9941,6238,,,,,,,,,,,,,,
ZB,1.1,2.4,4.0,8.4,15.4,24.8,5.5,,,,,,,,,,,,,,
PercentSMS,0%,2%,7%,6%,4%,2%,3%,,,,,,,,,,,,,,
PercentBudetPerezalog,0%,46%,18%,18%,32%,58%,17%,,,,,,,,,,,,,,
PercentGood,20%,97%,59%,71%,80%,92%,56%,,,,,,,,,,,,,,
PercentNew,98%,96%,85%,84%,72%,48%,85%,,,,,,,,,,,,,,
PercentPerez,0%,3%,6%,11%,26%,52%,10%,,,,,,,,,,,,,,
PercentOSN,0%,0%,2%,1%,1%,0%,1%,,,,,,,,,,,,,,
PercentBuyUp,1%,1%,7%,4%,1%,0%,4%,,,,,,,,,,,,,,
AVGDneyZaloga,2,41,25,29,41,52,27,,,,,,,,,,,,,,
AVGDneySProshZB,9,36,158,239,129,71,511,,,,,,,,,,,,,,
AVGWeightGross,5.64,9.32,6.14,5.65,6.78,9.48,6.49,,,,,,,,,,,,,,
AVGCostPerGram,1289,1277,1266,1190,1160,1159,1025,,,,,,,,,,,,,,
AVGCost,7322,11953,7845,6788,7883,10963,6586,,,,,,,,,,,,,,
MaxCost,7653,13527,12017,12525,16548,24358,12161,,,,,,,,,,,,,,
AVGPercentPerDay,33%,29%,34%,35%,34%,31%,32%,,,,,,,,,,,,,,
MINPercentPerDay,33%,28%,33%,30%,28%,25%,26%,,,,,,,,,,,,,,
MAXPercentPerDay,33%,31%,36%,40%,40%,38%,37%,,,,,,,,,,,,,,
isGoodZB,20%,96%,54%,64%,69%,80%,54%,,,,,,,,,,,,,,
BudetSledVisit3M,4%,52%,32%,33%,46%,66%,27%,,,,,,,,,,,,,,
MoreGood,1%,23%,56%,73%,87%,99%,56%,,,,,,,,,,,,,,
labels,1,4,5,0,2,3,6,,,,,,,,,,,,,,
