,mean,mean,mean,mean,mean,mean,mean
PartnerID,0.297671152,0.322766091,0.122984024,0.174346833,0.01165691,0.052821733,0.017753257
SEX,37%,41%,28%,34%,40%,34%,58%
Age,35,36,42,38,35,37,41
CreditCondition,1.8,0.0,2.9,1.0,7.0,4.0,1.4
LifeTime,1211,649,1634,887,1850,1523,994
DayFromLast,612,633,579,581,704,651,586
BudetPerezalog,0%,0%,56%,95%,25%,52%,34%
SumAmountzb,32094,8102,187362,28402,32298,117319,558253
AVGAmountzb,5822,6711,8036,7817,5910,7463,69145
ZB,5.7,1.2,24.4,4.2,5.4,16.7,9.7
PercentSMS,4%,0%,1%,3%,1%,1%,2%
PercentBudetPerezalog,7%,0%,59%,65%,22%,54%,34%
PercentGood,56,37,92,93,75,91,72
PercentNew,88%,99%,46%,88%,85%,53%,81%
PercentPerez,6%,0%,53%,10%,15%,47%,18%
PercentOSN,2%,0%,0%,1%,0%,0%,0%
PercentBuyUp,4%,1%,0%,1%,0%,0%,1%
AVGDneyZaloga,23,9,52,45,33,53,30
AVGDneySProshZB,208,7,65,87,515,72,57
AVGWeightGross,5.21,5.41,8.15,6.71,6.78,7.31,58.55
AVGCostPerGram,1182,1291,1099,1263,959,1134,1278
AVGCost,6201,7000,8874,8492,6376,8211,73906
MaxCost,10383,7322,19449,11307,11156,15940,115520
AVGPercentPerDay,35%,33%,32%,33%,31%,33%,29%
MINPercentPerDay,31%,33%,25%,31%,24%,27%,25%
MAXPercentPerDay,39%,34%,39%,35%,36%,38%,32%
isGoodZB,43%,36%,80%,99%,62%,74%,65%
BudetSledVisit3M,6%,3%,66%,99%,26%,57%,41%
MoreGood,58%,3%,100%,57%,80%,99%,54%
labels,0,1,2,3,4,5,6
