,mean,mean,mean,mean,mean,mean,mean,mean,mean,1,2,3,4,5,6,7,8,9
labels,1,2,3,4,5,6,7,8,9,,,,,,,,,
PartnerID,32%,9%,1%,16%,0%,17%,7%,15%,1%,,,,,,,,,
SEX,44%,20%,14%,39%,28%,39%,37%,29%,40%,,,,,,,,,
Age,34,53,39,34,34,35,36,41,35,,,,,,,,,
CreditCondition,0.0,0.0,1.2,1.0,6.0,2.2,3.0,3.3,7.0,,,,,,,,,
LifeTime,645,800,1081,881,1240,1340,1491,1592,1851,,,,,,,,,
DayFromLast,639,564,596,568,615,603,663,605,702,,,,,,,,,
BudetPerezalog,16%,27%,13%,22%,8%,24%,37%,56%,25%,,,,,,,,,
LTV,8513,28428,22645,29145,40997,44242,80575,210593,33801,,,,,,,,,
AVGAmountzb,7832,10793,6723,7326,6275,6192,6996,9826,6190,,,,,,,,,
ZB,1.1,3.2,3.4,4.0,6.5,7.3,11.7,22.2,5.4,,,,,,,,,
PercentSMS,0%,2%,2%,5%,2%,4%,2%,1%,1%,,,,,,,,,
PercentPromo,1%,83%,53%,12%,19%,11%,7%,12%,13%,,,,,,,,,
PercentBudetPerezalog,16%,22%,6%,17%,3%,16%,32%,59%,22%,,,,,,,,,
PercentGood,46,65,41,55,9,71,80,92,75,,,,,,,,,
PercentNew,100%,93%,52%,89%,89%,88%,75%,47%,85%,,,,,,,,,
PercentPerez,0%,5%,1%,5%,1%,10%,24%,53%,15%,,,,,,,,,
PercentOSN,0%,0%,43%,0%,2%,0%,0%,0%,0%,,,,,,,,,
PercentBuyUp,0%,3%,4%,6%,8%,2%,1%,0%,0%,,,,,,,,,
AVGDneyZaloga,15,24,14,24,10,28,42,53,33,,,,,,,,,
AVGDneySProshZB,3,72,245,155,127,219,116,66,517,,,,,,,,,
AVGWeightGross,6.36,8.85,5.34,6.16,5.60,5.72,6.64,9.73,7.06,,,,,,,,,
AVGCostPerGram,1291,1268,1285,1248,1124,1169,1146,1111,960,,,,,,,,,
AVGCost,8254,11313,6862,7764,6332,6768,7661,10789,6673,,,,,,,,,
MaxCost,8430,13782,11189,11745,13370,11811,14740,23148,11677,,,,,,,,,
AVGPercentPerDay,35%,24%,36%,35%,36%,35%,34%,32%,31%,,,,,,,,,
MINPercentPerDay,35%,23%,33%,33%,31%,30%,29%,25%,24%,,,,,,,,,
MAXPercentPerDay,35%,27%,39%,37%,40%,40%,39%,38%,36%,,,,,,,,,
isGoodZB,46%,64%,41%,51%,21%,62%,66%,78%,62%,,,,,,,,,
BudetSledVisit3M,19%,32%,23%,30%,15%,30%,44%,63%,26%,,,,,,,,,
MoreGood,2%,33%,20%,53%,2%,73%,87%,99%,80%,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
