,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
PartnerID,3396119.527814332,3765040.184171291,1624089.9727756316,3024387.109949722,1023961.6562454717,1316543.9208153666,1231056.7575757576,734033.8778625954,2469545.7889310904,
SEX,0.20018343502013797,0.43959419315060816,0.3932566088873607,0.3911528623092529,0.26170120272424285,0.3713249705997648,0.3401195995431029,0.2748091603053435,0.14405860010851873,
Age,52.99581289627946,33.79009024157839,35.13541392771182,34.08560465731675,43.50695551369367,35.76656213249706,36.95800577840489,39.43511450381679,38.60851871947911,
CreditCondition,0.017904853052597997,0.06422285746314668,2.4272162779879047,1.0043882861427185,3.006049847848138,3.0,4.0,8.0,1.2965274009766685,
LifeTime,799.7845436056945,652.3245670085757,1372.0380453469793,884.4648055041016,1640.7407622083756,1492.0705115640926,1524.5855674259221,1785.2824427480916,1090.9663591969615,
DayFromLast,565.9141843123181,640.6261868729331,610.2785137841063,569.8467628120314,586.9043254600782,665.4722657781263,652.6684808170396,375.9770992366412,599.0344546934347,
BudetPerezalog,0.27012800574231366,0.1594977859985427,0.24477660241499968,0.2241554203051954,0.5827054050137661,0.36965895727165815,0.5150171336424108,0.549618320610687,0.13374932175800325,
SumAmountzb,28025.422735528286,8836.96176655078,42840.7030833836,29476.700359494218,253500.9147465696,77949.32957328697,131033.8282183059,667825.6497793416,22836.36765750051,
AVGAmountzb,10587.651434707808,7836.204991127067,6116.851568148477,7319.952348818968,10874.035821321822,6906.6849886057935,8376.979270220972,16624.855861984135,6704.9790355663745,
ZB,3.2450053834190693,1.1353287371784093,7.2051333913149005,4.03682632089618,24.959571076655557,11.645139161113288,16.757508566821205,45.49618320610687,3.4858925664677156,
PercentSMS,0.020586641375895734,0.0008522575718743419,0.034371464522660766,0.04862438254671192,0.01141354570500909,0.01755774470668809,0.011599386249758568,0.011235713859209578,0.02338084905664525,
PercentPromo,0.8259265231562292,0.01630446914361561,0.10805407802531056,0.11609093281069484,0.13383838768838616,0.07276093323219311,0.08709373307341782,0.06510115096603238,0.5331589327250005,
PercentBudetPerezalog,0.22398732835744462,0.15779070171471865,0.16607511305392994,0.169354424264685,0.6163120390754544,0.3145390479461816,0.5384614211748999,0.5451025183646734,0.060110369780087235,
PercentGood,65.09493549407163,45.40454485481493,71.17491763214018,55.189179607641975,92.73619391270486,79.7581831810522,90.94155655776767,93.92302331123643,41.29571563461457,
PercentNew,0.9234982787140815,0.9952112428937937,0.8739071687195696,0.882614659497072,0.4421627590868127,0.747891355673547,0.5274944410668196,0.48045840324791333,0.5240580762432796,
PercentPerez,0.04829095572902585,0.000662718245602063,0.09989472990711472,0.05638740438220141,0.5542767238936476,0.24267837013280796,0.4683675127714544,0.5162216510254009,0.008817406299984365,
PercentOSN,0.00166365691316683,5.583885219203912e-05,0.0035242462498031035,0.0010273186725707159,0.0017236735225530846,0.003859795518902173,0.0018152326929530597,0.0020570893921242417,0.42896354978684814,
PercentBuyUp,0.02654711130581466,0.004070200080700462,0.02267386028718111,0.05997062132577093,0.0018368526058909324,0.005570486990429361,0.0023228262200639194,0.0012628620362463798,0.038160978326785194,
AVGDneyZaloga,24.0266379550983,14.844851745978364,28.674703181569953,24.059804181000263,53.471851905520936,41.693943551548415,52.38345763622925,54.69465648854962,13.569994574064026,
AVGDneySProshZB,69.90501256131117,3.9030099209685556,239.35262231750977,153.63760254035458,65.87027242428634,116.015484123873,72.23295034603238,44.51908396946565,244.1315789473684,
AVGWeightGross,8.686921002933577,6.368394913100933,5.723921927588734,6.155258930861408,10.831109244889248,6.561353584759975,8.15391155701602,16.184728266628643,5.344420429373719,
AVGCostPerGram,1268.4214688558282,1289.716110299966,1156.550355814192,1247.203464747127,1095.1099979104624,1145.7779795778633,1135.2414825043195,1148.3017946199607,1280.29003540304,
AVGCost,11105.377862472647,8254.566317920931,6681.820289907943,7758.777001617047,11911.966380350521,7566.012653116057,9213.826201594933,18747.86624634721,6849.078220046608,
MaxCost,13532.288918349257,8498.01073032326,11626.683005071405,11759.356703648631,26412.49304246094,14495.909843573427,17930.296927812655,49137.601517771946,11217.894898255752,
AVGPercentPerDay,0.24396898534521655,0.35181575608600263,0.34835087444233676,0.3488969955794777,0.30907781484487296,0.3438232408406418,0.33010673267437807,0.3364274815748666,0.35669671585636814,
MINPercentPerDay,0.2261749835887746,0.35038596294825736,0.2955156655589987,0.3285575985246059,0.24334987871502167,0.28789102321148197,0.27166566160596173,0.2539694661857518,0.3302550176426372,
MAXPercentPerDay,0.2668349500591781,0.3529718044866101,0.39424081089181184,0.3674411200183435,0.38015215186146595,0.39446344431482405,0.3842746760927204,0.4242748101703993,0.39234129032620385,
isGoodZB,0.6364397655221916,0.4540552659604282,0.6224793187840052,0.5099894151892035,0.7928923344442834,0.6593492747941984,0.7425922193106228,0.8473282442748091,0.4072164948453608,
BudetSledVisit3M,0.32204809187701877,0.18584160080712964,0.2997714447523311,0.29809473405662873,0.6532024344297928,0.44252254018032144,0.5644023382382584,0.6259541984732825,0.22409115572436245,
MoreGood,0.3344498943254775,0.02160192814304131,0.73671649036225,0.5297036252976978,0.9917403274887697,0.8730399843198745,0.9887791439897871,0.9923664122137404,0.19967444384156266,
labels,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,
