,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
PartnerID,1692229.7623594801,3783723.1011616867,1014542.2301042556,3019942.9315144527,3360552.960265156,940949.7703633341,734033.8778625954,1315724.4038987688,1231068.679994624,
SEX,0.3850139997492582,0.44142973376124395,0.2625681742292138,0.38377951411126765,0.19462750992407601,0.37402042270244595,0.2748091603053435,0.3703830369357045,0.3400981116860426,
Age,35.134522963767814,33.78334764724495,43.56123622602308,34.149353144613805,53.01237137241299,34.861790548563285,39.43511450381679,35.777408637873755,36.956588938915395,
CreditCondition,2.1304066195829328,0.006509062966143832,3.0114272993729827,0.9986764015200034,0.013951516552973369,6.761576822607457,8.0,3.0,4.0,
LifeTime,1339.5938401103265,645.343624282421,1643.1702964419544,884.5202809444515,810.8726249662774,1706.528853004037,1784.2824427480916,1491.591362126246,1523.6071500571197,
DayFromLast,602.2776965188683,639.6703882836866,587.8009869031276,569.435506596644,565.1674952788376,681.9805271906911,374.9770992366412,664.484707836623,651.6826154156307,
BudetPerezalog,0.24624932090768523,0.1606246892374452,0.5820873372166364,0.22189488066265317,0.2651944348094192,0.2089764901448587,0.549618320610687,0.3688684776236076,0.5149519521537531,
SumAmountzb,44315.57202743383,8580.324952042653,256642.20350718475,29168.575064074274,27719.633810228504,35515.57091951789,667825.6497793416,77869.05801414861,130523.08591164384,
AVGAmountzb,6158.719888960933,7905.1162695299945,10996.18195580762,7301.003344434886,10206.291264892465,6209.070405973219,16624.855861984135,6905.447737739448,8362.630905849655,
ZB,7.392327301600568,1.0839058897979479,25.112046896449375,4.003202254387088,3.2962577561953212,5.6789361196865356,45.49618320610687,11.63220637092046,16.74887440360191,
PercentSMS,0.03570484327474787,0.0008081397164939854,0.011303825946746919,0.04753072086927161,0.020630950513118338,0.011905104945880646,0.011235713859209578,0.01755926215560524,0.011599985205348513,
PercentPromo,0.11599673322549893,0.01550898952047756,0.13409585744652822,0.12793688514714052,0.8198125136540292,0.1435930958620103,0.06510115096603233,0.0737790548298406,0.08712175435243766,
PercentBudetPerezalog,0.16686868305957556,0.1593503582002769,0.6134925745979429,0.16656991563608795,0.21826862427419472,0.172590514531302,0.5451025183646734,0.3138548876230785,0.5383636364171954,
PercentGood,70.38604593570903,45.80192607104258,92.73919627055942,54.83905369879103,64.56793454019864,59.343306610856594,93.92302331123643,79.60304579043822,90.9284518688054,
PercentNew,0.8602674590187301,0.995280311041007,0.4446120341315153,0.8709567658600647,0.9111711521023395,0.8557024520784935,0.48045840324791333,0.7473628692309273,0.5275378100662637,
PercentPerez,0.10121787776027062,0.0006185671685391744,0.5518173764087682,0.05513465072889119,0.04855168747873259,0.11476448962628148,0.5162216510254009,0.2421460418961214,0.4682647246510936,
PercentOSN,0.013626952785392984,0.00069413427385581,0.0017810681350652205,0.015510897848639486,0.013399974004797552,0.009059354669087801,0.0020570893921242417,0.004891688886044144,0.0018778764600530403,
PercentBuyUp,0.02488771594883427,0.0034069875730086676,0.00178953022772614,0.05839768963541498,0.02687718925903072,0.020473708681951534,0.0012628620362463798,0.005599408295689537,0.002319601576095142,
AVGDneyZaloga,28.421434242968783,14.916896442616281,53.382554817645534,23.75398146962128,23.684202412610322,27.214438375682736,54.69465648854962,41.61535079147938,52.37887238760836,
AVGDneySProshZB,220.79850808642234,2.6937124259820098,66.28475494379104,155.12651039665258,75.59567580067059,423.8083590596058,44.51908396946565,116.43658393589995,72.25912237080841,
AVGWeightGross,5.673411037442071,6.415635220296896,10.928602006141672,6.126102448730056,8.38642440341353,6.706940017585742,16.184728266628643,6.55902399641986,8.140337040809458,
AVGCostPerGram,1171.4688395184496,1291.6405531615067,1094.093096392604,1249.2185908304903,1268.0737975962925,999.1262521139093,1148.3017946199607,1145.7614320665919,1135.2358459045583,
AVGCost,6722.973084050228,8328.072813363315,12041.164072092435,7730.5072527250595,10707.142584927855,6590.814488925721,18747.86624634721,7563.389810785409,9198.698810592517,
MaxCost,11735.05364730703,8506.018689840519,26679.03750816761,11720.077707918614,13192.862296492083,12079.630249849608,49137.601517771946,14495.966825585498,17898.824217232428,
AVGPercentPerDay,0.3513953943487256,0.3516833931040951,0.30911235488082944,0.3493258241009083,0.24578416945743906,0.32147722579299964,0.3364274815748666,0.344190927251856,0.3302027486341309,
MINPercentPerDay,0.3004183212229088,0.3507599537191159,0.24309390610901407,0.32913133459315447,0.2271441809817831,0.2548848260039248,0.2539694661857518,0.28800371319320556,0.27170082935762374,
MAXPercentPerDay,0.3967583250620087,0.3524146795293707,0.38077356883405916,0.36796016199349246,0.26909970487616364,0.3735858481107543,0.4242748101703993,0.3952760392782137,0.3845830256279963,
isGoodZB,0.6193739813615279,0.4567757537404511,0.7917857010351352,0.5072797916399812,0.631017073264732,0.5229161719306578,0.8473282442748091,0.6582470197381278,0.7424904240306431,
BudetSledVisit3M,0.30542438045885745,0.18657053744971297,0.6516899788520758,0.29650740788181545,0.3184568543569584,0.23652339111849918,0.6259541984732825,0.44181160836427597,0.5643437940998589,
MoreGood,0.7238706172426762,0.021855082945350993,0.9910214076355137,0.5186798172580163,0.33564573939183723,0.6100688672524341,0.9923664122137404,0.8711158882157514,0.9886432363416437,
labels,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,
