,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
PartnerID,15%,19%,20%,4%,12%,10%,1%,13%,5%,
SEX,15%,31%,37%,33%,36%,37%,39%,24%,35%,
Age,41,37,38,39,36,35,36,45,36,
CreditCondition,0,0,0,5,2,1,7,1,3,
LifeTime,609,561,808,1687,1346,914,1859,1268,1529,
DayFromLast,546,533,580,476,510,519,661,467,554,
BudetPerezalog,0%,0%,1%,28%,14%,10%,7%,29%,15%,
SumAmountzb,9374,10252,14406,330794,75762,44493,44013,177085,128002,
AVGAmountzb,7238,7366,7352,10438,6483,7249,6413,9750,7223,
ZB,1.3,1.3,2.2,30.6,11.4,6.1,6.5,20.4,17.0,
PercentSMS,0%,0%,1%,1%,4%,4%,1%,1%,2%,
PercentPromo,100%,100%,27%,9%,11%,13%,13%,15%,7%,
PercentBudetPerezalog,0%,0%,2%,54%,23%,18%,24%,60%,34%,
PercentGood,0.83,1.21,41.89,92.29,75.75,59.83,76.41,91.53,82.19,
PercentNew,0%,1%,90%,47%,75%,78%,75%,43%,66%,
PercentPerez,0%,0%,1%,52%,21%,15%,23%,55%,33%,
PercentOSN,97%,1%,3%,0%,1%,1%,0%,0%,0%,
PercentBuyUp,3%,98%,6%,0%,3%,6%,2%,1%,1%,
AVGDneyZaloga,0.061228598,0.074061922,12.09110219,51.37227531,31.60916123,26.59095083,34.36735665,49.99968048,42.20925036,
AVGDneySProshZB,46.20348469,17.91328633,105.3992526,92.06027417,171.6049011,146.0093075,444.4104211,57.88334142,100.0334568,
AVGWeightGross,4.90407722,5.609577584,6.047418586,10.20088862,5.929904379,6.144551241,7.066159006,8.925387678,6.80176456,
AVGCostPerGram,1477.479473,1302.416471,1260.298017,1132.926374,1193.100382,1247.116267,995.4528985,1201.596073,1169.147614,
AVGCost,7239.657607,7367.628529,7688.221594,11517.43027,7128.861812,7723.498884,6986.88068,10690.22607,7980.390673,
MaxCost,7897.478022,8134.017803,9074.486213,27261.3205,13264.34353,12328.58871,11914.5221,19074.43061,16288.47185,
AVGPercentPerDay,0.003192849,0.005502167,0.345201595,0.3186871,0.348805197,0.346647142,0.306073019,0.306406632,0.342538939,
MINPercentPerDay,0.003184431,0.005458496,0.334049406,0.255149076,0.298535208,0.324038662,0.241013562,0.264888586,0.282916221,
MAXPercentPerDay,0.003201643,0.005544601,0.357947683,0.385437203,0.393011054,0.367847591,0.365660245,0.360612641,0.397199178,
isGoodZB,0.004730797,0.008786601,0.36289041,0.72511543,0.650642882,0.510482653,0.562455389,0.728341006,0.632618078,
BudetSledVisit3M,0.008082618,0.01706105,0.057391236,0.331722682,0.248104817,0.16504537,0.087556507,0.371454268,0.241176651,
MoreGood,0.003764507,0.003441019,0.123105971,0.982425999,0.798138924,0.608118414,0.832976445,0.993041667,0.905476139,
labels,0,4,2,1,3,5,6,7,8,
