404739,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
PartnerID,25.6%,7.1%,6.3%,17.8%,18.5%,2.8%,8.2%,0.2%,13.6%,
SEX,40%,32%,32%,20%,38%,26%,35%,27%,39%,
Age,37,39,37,48,36,36,36,40,34,
CreditCondition,0.1,4.9,4.0,0.4,2.2,1.1,3.0,8.0,1.0,
LifeTime,656,1700,1577,1121,1397,740,1530,1895,929,
DayFromLast,613,473,500,446,526,497,554,314,523,
BudetPerezalog,0,0,0,0,0,0,0,0,0,
SumAmountzb,10610,352432,206792,167022,67933,26031,129618,846730,44848,
AVGAmountzb,7841,10280,8579,10022,6253,7065,7211,12443,7195,
ZB,1.4,33.1,25.1,18.8,10.7,3.5,17.3,74.5,6.2,
PercentSMS,0%,1%,1%,1%,4%,3%,2%,1%,5%,
PercentPromo,19%,8%,7%,18%,9%,53%,6%,4%,8%,
PercentBudetPerezalog,1%,54%,53%,62%,19%,4%,34%,53%,15%,
PercentGood,42.2,92.6,91.2,91.9,76.6,32.2,82.4,96.1,61.5,
PercentNew,99%,47%,48%,43%,80%,50%,66%,48%,85%,
PercentPerez,0%,53%,52%,56%,18%,3%,33%,51%,13%,
PercentOSN,0%,0%,0%,0%,1%,1%,0%,0%,1%,
PercentBuyUp,0%,0%,0%,0%,1%,46%,0%,0%,1%,
AVGDneyZaloga,12,52,53,49,31,12,42,53,27,
AVGDneySProshZB,14,86,64,54,193,103,99,29,148,
AVGWeightGross,6.33,10.07,8.19,8.99,5.82,5.55,6.79,11.80,6.12,
AVGCostPerGram,1289,1131,1168,1228,1175,1288,1170,1166,1245,
AVGCost,8213.43443,11345.28928,9490.491497,10973.48204,6884.842111,7177.885712,7964.707187,13602.06845,7692.22208,
MaxCost,8733.570589,27547.24816,20264.04272,18387.91279,12812.12356,11736.85828,16356.90429,46823.28067,12399.89378,
AVGPercentPerDay,0.329242469,0.318020363,0.329524971,0.29710056,0.347513775,0.343645579,0.34247372,0.335746209,0.348235792,
MINPercentPerDay,0.325147316,0.253991663,0.267471917,0.264135874,0.292437015,0.334629709,0.282425926,0.251874107,0.322968424,
MAXPercentPerDay,0.333729723,0.38549541,0.389667295,0.346686431,0.396540382,0.352785694,0.397589083,0.424291846,0.372202512,
isGoodZB,0.419642339,0.736003083,0.698994422,0.799782872,0.659916108,0.286526187,0.640479121,0.905579399,0.530750676,
BudetSledVisit3M,0.075727405,0.350921449,0.31553932,0.440338497,0.230837051,0.195243508,0.253609919,0.643776824,0.175417596,
MoreGood,0.052440793,0.986966576,0.991986802,0.988419837,0.813152903,0.204161931,0.908348594,0.995708155,0.630701707,
labels,0,1,2,3,4,5,6,7,8,
